city,spot_name,strategy_sum,star,intro,rank,lng,lat,comment_sum,visitors
香港,中环,39,width:94%,政商中心，高楼大厦尽显都市风采，美食购物夜生活应有尽有。,香港景点排名第,114.1703249,22.2830457,2436,15%
香港,南丫岛,40,width:94%,离岛游首选，在如画景色间悠闲徒步，逛文艺小店、淳朴渔村，尝海鲜大餐。,香港景点排名第,114.1465323,22.2035231,1272,8%
香港,大屿山,41,width:94%,古朴渔村、超大outlets、迪士尼乐园、禅寺大佛，大屿山包罗万象。,香港景点排名第,113.9531722,22.2691934,1061,5%
香港,圣约翰座堂,7,width:90%,中环闹市中的清静一隅，哥特式教堂、圣经彩绘玻璃，静谧安宁。,香港景点排名第,114.171258,22.2817782,135,5%
香港,香港港澳码头,15,width:92%,,香港景点排名第,114.164341,22.2927243,130,5%
香港,香港大学,37,width:94%,人文气息浓郁，建筑复古，漫步其中回味校园生活。,香港景点排名第,114.1486,22.286457,635,6%
香港,赤柱,16,width:96%,来赤柱漫步海滩、冲浪烧烤，流连欧式古建和中式庙宇，穿梭市集后在酒吧放松。,香港景点排名第,114.2240164,22.2237654,624,3%
香港,香港海洋馆,3,width:90%,探索犹如印度太平洋珊瑚环礁的海洋生态，与成千上万的鱼类擦身而过,香港景点排名第,114.1796148405,22.2425989602,9,2%
香港,香港太空馆,9,width:94%,全圆顶银幕影片体验太空漫步，亲手模拟火箭发射，亲子游必去。,香港景点排名第,114.1834106,22.2972026,433,3%
香港,海洋剧场,4,width:86%,"海洋伴我心! (11:30，15:30，17:00)
由海洋公园聪明可爱的海豚、海狮和一班训练员呈献一个关于梦想和海洋的故事。园内每天均有乐队在海洋伴我心表演前演奏，以娱乐游客。 
海洋公园内最受欢迎的大型表演，深受欢迎。聪明的海豚、海狮做出美妙的翻腾…",香港景点排名第,114.1780153067,22.2432338428,21,2%
香港,跑马地赛马场,5,width:92%,以其刺激的场面，丰厚的奖金，令许多香港人乐此不疲,香港景点排名第,114.192166,22.277408,16,2%
香港,香港历史博物馆,9,width:94%,从小渔村到大都市的华丽转身，香港地区自然、民俗、历史的集中展示。,香港景点排名第,114.1887596,22.3047856,366,3%
香港,昂坪360,26,width:94%,水晶车厢底部全透明玻璃，空中体验凌空感，低头欣赏脚下美景。,香港景点排名第,113.9127622,22.259369,1082,3%
香港,金鱼街,3,width:92%,介乎旺角道与水渠道之间的一段通菜街以及介乎西洋菜南街与通菜街之间的一段水渠道聚集了六十多间商店，专门售卖观赏鱼及水族用品，故有“金鱼街”之称。另外，十多间宠物店也于该处相继开业，因而有“宠物市场”的美誉。,香港景点排名第,114.181212,22.325969,13,2%
香港,香港艺术馆,3,width:92%,古今藏品种类繁多，展示了各种特色作品，馆内可赏维港海景。,香港景点排名第,114.1836415,22.2965191,242,2%
香港,煤气灯街,14,width:90%,穿越历史的石阶与煤气灯，老香港氛围浓厚，港剧经典取景地。,香港景点排名第,114.1682262,22.2827551,270,4%
香港,山顶广场,4,width:86%,,香港景点排名第,114.156469761,22.2763983748,21,1%
香港,山顶缆车,34,width:90%,最富有港味的交通方式，小火车外观复古，45度倾斜体验，必游景点。,香港景点排名第,114.1707189,22.2807325,958,4%
香港,九龙公园,12,width:94%,九龙地区较大的城市公园，自然美景与文娱设施相结合，休闲胜地。,香港景点排名第,114.1823067,22.3033121,476,2%
香港,SoHo荷南美食区,1,width:100%,装修各异的餐厅、布满涂鸦的酒吧吸引着不同肤色的食客,香港景点排名第,114.1655534746,22.2858305632,3,3%
香港,维多利亚公园,5,width:92%,市区的大公园，拥有足底按摩园和儿童游乐区等，设施齐备。,香港景点排名第,114.2001484,22.2853223,300,1%
香港,终审法院,2,width:100%,,香港景点排名第,114.1719541,22.2839588,16,1%
香港,尖东海滨,1,width:86%,"除了标榜气氛佳的美食厅外，香港还是有不少免费的参观景点，像尖沙咀海滨公园就是适合想与海天融合为一的族群，不论是为了保留经费血拼或让自己的胃从大餐中暂歇一下，都可以信步到此来趟晚间的漫游。
尖沙咀海滨公园从天星码头旁的香港文化中心，…",香港景点排名第,114.186048,22.298283,44,0%
香港,皇后大道东,3,width:92%,,香港景点排名第,114.1840311,22.2776244,56,1%
香港,弥敦道,19,width:92%,九龙地区主干道，连接旺角及尖沙咀，两边商铺、食肆林立，港味十足。,香港景点排名第,114.1825366,22.313832,253,1%
香港,香港立法院,2,width:80%,"原是最高法院，典雅的花岗岩柱和手持天秤的蒙眼女神肖像，显然是维多利亚女王时代晚期的典型殖民地建筑风格，但大楼的天花板瓦片却极富中国色彩。
大楼奠基于1903年，于1912年正式落成，1984年被香港政府列为法定古迹，并于1985年起用作立法会大楼…",香港景点排名第,114.1728658589,22.2869490842,0,1%
香港,文武庙,1,width:88%,知名的中式庙宇，每年秋季举行盛大秋祭典礼，为寺庙祈福。,香港景点排名第,114.1617204,22.2871756,123,0%
香港,香港公园,4,width:94%,观鸟园看各种活泼可爱的雀鸟，到鸟瞰角观景台俯瞰整个公园。,香港景点排名第,114.172347,22.2799745,240,0%
香港,樓梯街,2,width:88%,探访港片取景地，体验走进TVB剧集和香港电影的感觉。,香港景点排名第,114.1613579,22.287089,143,1%
香港,原野美食,3,width:100%,"原野美食
在森林里进餐，您可以探索的心情，从新的角度发掘食物的味道。
碧林餐厅
于棕榈树下品尝亚洲南部的佳肴，以及广东烧味和炒制美食，别有一番风味。
河景餐厅
身处充满殖民地色彩的餐厅，与家人在探险河的流水声相伴下，细味精心烹调的菜肴…",香港景点排名第,114.0482232812,22.3191816998,0,0%
香港,极速之旅,3,width:80%,欢迎挑战海洋公园的终极刺激游戏──远在一公里以外就已经听到疯狂尖叫的极速之旅！置身20层楼的高度上，整个海洋公园就在您的脚下。即时安然不动，已经是一种慑人的刺激。就在这个时候，身体瞬间垂直下坠，在压力与紧张的交织下，强大的冲力把您迫…,香港景点排名第,114.1789967194,22.2422085047,3,0%
香港,香港赛马会,3,width:100%,,香港景点排名第,114.187223195,22.2802550182,21,0%
香港,冲天摇摆船,1,width:0%,,香港景点排名第,114.177240162,22.239335973,1,0%
香港,《幻彩咏香江》灯光表演,10,width:82%,看一场绚丽多彩的城市声光秀，演尽香港的繁华。,香港景点排名第,114.181274,22.2959631,268,1%
香港,青马大桥,8,width:90%,全球知名的悬索式吊桥，机场乘车前往市区必经之地。,香港景点排名第,114.0850209,22.3542803,295,1%
香港,香港动植物公园,2,width:92%,1000多种热带和亚热带动植物，“镇园之宝”美洲豹/美洲虎值得一看。,香港景点排名第,114.1676951,22.2804949,219,0%
香港,香港集古村,1,width:86%,,香港景点排名第,114.1794622,22.2382051,77,0%
香港,美国小镇大街,22,width:88%,,香港景点排名第,114.0549332,22.3159761,67,1%
香港,皇后大道西,2,width:86%,,香港景点排名第,114.1519797,22.2903935,42,0%
香港,大浪湾,8,width:92%,,香港景点排名第,114.2614716,22.2487817,31,0%
香港,榕树湾渡轮码头,3,width:78%,,香港景点排名第,114.1206572,22.2302138,91,0%
香港,香港立法会大楼,1,width:80%,香港立法会大楼，位于香港中环昃臣道8号，是现时香港立法会举行会议之地。,香港景点排名第,114.171882,22.283985,1,0%
香港,铜锣湾天后庙,5,width:90%,,香港景点排名第,114.2041801,22.2851974,68,0%
香港,旧赤柱警署,3,width:80%,,香港景点排名第,114.2244525,22.221635,6,0%
香港,市镇会堂,1,width:100%,市镇会堂是香港迪士尼乐园的服务中心！您可在这里查询各类资料、餐厅订位、兑换外币、留言及索取地图指南。,香港景点排名第,114.0519774564,22.3218551383,1,0%
香港,香港中文大学,8,width:92%,香港三大名校之一，依山而建，或现代或复古的教学楼错落有致。,香港景点排名第,114.216507,22.419816,187,0%
香港,七彩升空天地,1,width:00%,充满嘉年华气氛的七彩升空气球，带您进入高耸入云的国度！登上这个直径达22米的氦气球，您将会升上100米高空，居高临下饱览一望无际的港岛南区美景，同场还有谐趣的小丑、艺高人胆大的杂技人和神秘的魔术师向您献技，最适合情侣和一家大小前来游玩…,香港景点排名第,114.1813403784,22.2526360408,1,0%
香港,砵甸乍街,3,width:88%,石板是一条历史悠久的老街，是TVB多次取景之地，摄影爱好者常去的取景地。,香港景点排名第,114.1679683,22.2867083,141,0%
香港,高等法院,3,width:92%,,香港景点排名第,114.1748765,22.2813598,33,0%
香港,聖安德烈堂,1,width:82%,九龙区最悠久的基督教教堂，红砖外墙散发典雅的欧陆色彩。,香港景点排名第,114.1840069,22.3050267,87,0%
香港,百老汇电影中心,1,width:80%,,香港景点排名第,114.1856728721,22.3247258036,3,0%
香港,旺角西洋菜南街,10,width:92%,知名的电子产品一条街，种类齐全价格实惠。,香港景点排名第,114.1814386,22.3226643,198,0%
香港,金魚寶殿,1,width:92%,,香港景点排名第,114.1881234,22.2486656,50,0%
香港,中银大厦,4,width:90%,维港边的标志性建筑，贝聿铭事务所设计，形如竹子寓意“节节高升”。,香港景点排名第,114.1730196,22.2823208,270,0%
香港,礼宾府,2,width:90%,,香港景点排名第,114.163979245,22.2844662703,0,0%
香港,香港大会堂,2,width:82%,,香港景点排名第,114.1731609,22.2852522,22,0%
香港,石澳,21,width:94%,水清沙幼的海滩，这里有绝妙的悬崖峭壁和刺激的山脊小路。,香港景点排名第,114.2532934,22.2369072,437,1%
香港,艺穗会,3,width:82%,醒目的红白砖块砌成的百年老建筑，张国荣《金枝玉叶》拍摄地。,香港景点排名第,114.1672429,22.2833442,113,0%
香港,孙中山纪念馆,4,width:86%,,香港景点排名第,114.1624203,22.2852188,29,0%
香港,塔门,2,width:88%,塔门岛上观音庙，在大节日（如观音诞）渔民祈求平安、香火鼎盛。,香港景点排名第,114.370776,22.479086,130,0%
香港,香港文化博物馆,1,width:88%,综合性博物馆，内容涵盖历史、艺术和文化，常举办多元化展览。,香港景点排名第,114.1971219,22.3795698,133,0%
香港,力宝中心,2,width:92%,,香港景点排名第,114.1748751,22.2825285,40,0%
香港,洪圣爷湾泳滩,8,width:78%,,香港景点排名第,114.1311742,22.2224627,112,0%
香港,美利楼,1,width:92%,赤柱地标建筑，由中环迁移而来，百年老建筑，充满复古情调。,香港景点排名第,114.219086,22.2252374,139,0%
香港,香港科技大学,1,width:92%,,香港景点排名第,114.2767840739,22.3395500183,52,0%
香港,香港城市大学,2,width:86%,,香港景点排名第,114.1829523586,22.3405361176,44,0%
香港,海味参茸燕窝街,1,width:76%,选购海味的圣地，鲍参翅肚一网打尽，体验港式市井氛围。,香港景点排名第,114.1629115,22.2884257,89,0%
香港,旺角警署,2,width:00%,旺角警署是香港警务处在西九龙总区旺角警区的警署，位于香港九龙旺角太子，弥敦道与太子道西交界处，现今已经被古物咨询委员会评定为香港三级历史建筑。,香港景点排名第,114.180425,22.327311,0,0%
香港,皇后像广场,4,width:86%,中环闹市中的一片开阔地，被多个知名地标建筑环绕，周日会有菲佣集会。,香港景点排名第,114.1713386,22.2841198,151,0%
香港,九龙清真寺,1,width:86%,,香港景点排名第,114.1832652,22.301678,68,0%
香港,南湾,2,width:80%,,香港景点排名第,114.2089305,22.2280819,10,0%
香港,香港海事博物馆,1,width:90%,,香港景点排名第,114.173522,22.2896187,60,0%
香港,香港仔郊野公园,1,width:88%,,香港景点排名第,114.1807367,22.2631602,39,0%
香港,中环中心,1,width:88%,,香港景点排名第,114.1662581,22.2877398,39,0%
香港,TVB大本营,2,width:88%,,香港景点排名第,114.28291,22.282506,26,0%
香港,香港叮叮车,24,width:96%,叮叮车是目前全世界唯一的双层有轨电车，行驶路线途径香港最繁华的商业中心。,香港景点排名第,114.148009,22.290298,59,1%
香港,张保仔洞,2,width:90%,长洲岛著名景点，洞穴黑暗狭窄凹凸不平，洞外风景迷人。,香港景点排名第,114.0291862,22.2037346,75,0%
香港,竹林禅院,1,width:94%,,香港景点排名第,114.130153,22.3817668,9,0%
香港,万佛寺,1,width:82%,,香港景点排名第,114.1962659,22.3905227,16,0%
香港,三栋屋博物馆,1,width:78%,香港现存古老的围村之一，探访棋盘布局的老宅。,香港景点排名第,114.1318548,22.3756171,86,0%
香港,香港艺术中心,2,width:96%,,香港景点排名第,114.1823461,22.2830943,39,0%
香港,屏山文物径,1,width:68%,漫步文物径，参观古意盎然的围村、宗庙，感受历史文化风俗。,香港景点排名第,114.0174813,22.4495956,80,0%
香港,警队博物馆,1,width:82%,,香港景点排名第,114.1807365,22.2705812,7,0%
香港,香港中央图书馆,1,width:92%,,香港景点排名第,114.2010185,22.2830392,91,0%
香港,亚洲国际博览馆,1,width:92%,,香港景点排名第,113.9547144,22.3240376,22,0%
香港,愉景湾,1,width:86%,环境怡人的海岸居住区，一边享受美食，一边欣赏海天一色。,香港景点排名第,114.0215889,22.2955685,72,0%
香港,Pacific Coffee(圣约翰大厦店),1,width:60%,,香港景点排名第,114.165715266,22.2835382682,1,0%
香港,香港医学博物馆,2,width:88%,,香港景点排名第,114.1601694,22.2867167,32,0%
香港,UA Cinemas( 沙田 新城市广场店),2,width:100%,,香港景点排名第,114.1935233251,22.3859887316,4,0%
香港,遮打花园,2,width:100%,,香港景点排名第,114.1727457,22.2834702,31,0%
香港,麦理浩径,9,width:96%,贯穿新界的远足径，饱览山海美景，户外爱好者必游。,香港景点排名第,114.3609394,22.3663599,213,0%
香港,昂船洲,1,width:0%,昂船洲原为香港维多利亚港岛屿之一，位于九龙半岛的西面，属深水埗区。,香港景点排名第,114.1397734374,22.323071717,0,0%
香港,毕打街,1,width:74%,,香港景点排名第,114.1691354,22.2849829,35,0%
香港,香港大球场,1,width:90%,,香港景点排名第,114.1952320539,22.2794827167,1,0%
香港,冯平山博物馆,2,width:60%,元代景教之铜制十字架：在这所珍贵的博物馆里，参观的重点是467个元代景教的铜制十字架，它是集目前世界上这类收集品的大成。这些铜制十字架原属于叙利亚的基督教派，唐朝年间（公元618～906年）流传至中国，它们使用的年代则可追溯至元朝（公元128…,香港景点排名第,114.1450678093,22.2903023404,1,0%
香港,香港特别行政区行政长官办公室,0,width:0%,中华人民共和国香港特别行政区行政长官办公室（英文：Chief Executive's Office，CEO），是香港特别行政区行政长官的直属的办公部门。,香港景点排名第,114.1766143656,22.2850713691,0,0%
香港,士丹利街,3,width:0%,士丹利街，亦被写作史丹利街，是香港岛中环的一条人流极多的街道，尤其是中区上班日午餐时份（中午12时至下午2时）。这条街上也有很多牌档，是香港一大特色。,香港景点排名第,114.16774,22.284687,0,0%
香港,沙田车公庙,1,width:92%,,香港景点排名第,114.1943408,22.3763255,37,0%
香港,半月湾,1,width:00%,半月湾是位于香港新界西贡区的一个小型公众沙滩，受到污染影响小，水质清澈纯净，达到香港水质标准的一级，是香港水质最好的十个公众海滩之一。,香港景点排名第,114.303171,22.369061,0,0%
香港,圆玄学园,1,width:100%,荃湾区最具代表性的名胜之一，是香港唯一同时供奉佛、道、儒三教的总坛。院？炔贾眉？三教之长，精致高雅，其主体建筑仿照北京天坛的三教大殿，还以高矗入云的牌坊见著。院内供应精美素食。,香港景点排名第,114.1294670396,22.3899163323,0,0%
香港,九龙中央邮政局,2,width:80%,,香港景点排名第,114.1775184345,22.3153140882,1,0%
香港,百德新街,2,width:90%,百德新街是位于香港岛北部的一条人流车流颇多的街道，它在香港铜锣湾商业购物区。,香港景点排名第,114.196828,22.28295,3,0%
香港,诺士佛台,1,width:90%,30家特色餐馆及酒吧提供环球美食和佳酿，饱尝饕餮盛宴。,香港景点排名第,114.1855182,22.3041151,47,0%
香港,香港粉岭联和墟,1,width:76%,,香港景点排名第,114.1548139,22.502544,14,0%
香港,香港競馬博物館,1,width:86%,赛马是香港的特色，这里记录了赛马在香港100多年的发展历程。,香港景点排名第,114.19161,22.2772959,101,0%
香港,北帝庙,1,width:100%,湾仔北帝庙，是湾仔区最悠久的寺庙之一。湾仔北帝庙建筑宏伟，面积是港岛庙宇之冠。,香港景点排名第,114.185297,22.276001,3,0%
香港,永利街,2,width:80%,永利街是必列者士街对上的一条后街，从上环的水泥丛林里移步南行，经由荷里活路、城皇街、楼梯街，沿着宁靖山的山势弯曲而上，不多远，“永利街”，一个在香港再通俗不外的铁皮街牌涌现在面前。,香港景点排名第,114.1558884353,22.2894859846,3,0%
香港,香港电影资料馆,2,width:92%,,香港景点排名第,114.2332896,22.2884766,69,0%
香港,新田大夫第,2,width:90%,新界西北区新田乡为文姓聚居之地，建村已达数百年。最早的村民祖籍四川，系南宋时移徙至江西，其后代南下广东定居于新田。新田乡中古建筑物特多，祠堂中之麒峰文公祠及大夫第被当局列为古迹，重修后让市民自由参观。富家大宅及古老宗祠，正好为寻根…,香港景点排名第,114.087964,22.502813,1,0%
香港,流浮山,1,width:80%,,香港景点排名第,113.9959066,22.4715558,13,0%
香港,尖沙咀中心,1,width:90%,,香港景点排名第,114.1893355,22.3005592,74,0%
香港,又一城电影院,1,width:0%,,香港景点排名第,114.1856728721,22.3247258036,0,0%
香港,坪洲,4,width:88%,可以远眺香港迪士尼乐园及愉景湾。,香港景点排名第,114.0529783,22.2860843,60,0%
香港,新娘潭瀑布,1,width:80%,新娘潭是郊野公园最出名的旅游点。民间传说曾有一顶大红花轿接了新娘，正往新郎家的途中，因其中一个轿夫失足，以致新娘跌下瀑布，淹死于潭中，故将此潭名为“新娘潭”。这里有银链般的瀑布，有茂密的灌木林，流水潺潺的横涌石涧，其下游的谷地宽广…,香港景点排名第,114.2457349616,22.5098377879,2,0%
香港,天水围体育馆,1,width:60%,,香港景点排名第,114.0129222205,22.4611592778,1,0%
香港,青山禅院,0,width:86%,,香港景点排名第,113.9708342,22.3945939,4,0%
香港,红勘,1,width:70%,红磡是一个位于香港九龙半岛的旧区，当中大部份地域都在九龙城区内，但油尖旺区的香港理工大学、香港体育馆及红磡海底隧道入口等地传统上亦算是红磡的一部份。,香港景点排名第,114.193266,22.305991,2,0%
香港,香港中国旅行社（旺角店）,0,width:0%,香港中国旅行社成立于1928年，是香港第一家由中国人开办的旅行社，是香港规模最大的旅游机构之一。,香港景点排名第,114.183432,22.321861,0,0%
香港,The Cavern,1,width:0%,,香港景点排名第,114.1616796479,22.286415899,0,0%
香港,将军澳华人永远坟场,1,width:100%,"将军澳华人永远坟场，是位于香港新界西贡区西南部魔鬼山的一处香港坟场，占地约285,000平方米。",香港景点排名第,114.254135877,22.302466516,4,0%
香港,李郑屋汉墓博物馆,1,width:80%,,香港景点排名第,114.1715375,22.3409345,33,0%
香港,香港吐露港,2,width:96%,,香港景点排名第,114.2177377,22.4430901,11,0%
香港,Pacific Coffee(展贸中心店),1,width:100%,,香港景点排名第,114.2146872859,22.3268575776,0,0%
香港,罗屋民俗馆,1,width:80%,,香港景点排名第,114.246732,22.2677977,10,0%
香港,香港迪士尼乐园,124,width:94%,必游乐园，亲子游胜地，与卡通人物互动，身临其境感受童话王国。,香港景点排名第,114.0529017,22.315978,16517,35%
香港,维多利亚港,159,width:92%,“世界三大夜景”之一，港岛、九龙两岸繁华尽收眼底，还可赏幻彩灯光秀。,香港景点排名第,114.1830693,22.2927275,3827,46%
香港,太平山顶,113,width:90%,香港代表性景点，搭乘复古缆车抵达山顶，可俯瞰维港美景、参观蜡像馆。,香港景点排名第,114.1570529,22.2791795,6344,46%
香港,怪兽大厦,3,width:90%,,,114.2235744,22.2875414,37,0%
香港,星光大道,100,width:94%,见证香港电影业发展史，星光熠熠，还可欣赏维港璀璨夜景。,香港景点排名第,114.1856561,22.2959109,2222,46%
香港,彩虹邨,12,width:88%,热门拍照打卡地，整齐有序而又色彩绚丽的彩虹墙和充满活力的操场相映成趣。,香港景点排名第,114.2170045,22.3392823,119,0%
香港,香港杜莎夫人蜡像馆,29,width:90%,源自英国的蜡像馆，位于山顶，蜡像造型逼真，可近距离与自己喜爱的名人合影。,香港景点排名第,114.1612669,22.2744141,1859,20%
香港,天际100香港观景台,7,width:92%,环贸100层，知名室内观景台，360度俯瞰维港、九龙、港岛美景。,香港景点排名第,114.1718763,22.3064721,873,2%
香港,兰桂坊,39,width:90%,夜生活殿堂地，酒吧街人头攒动，或畅饮聊天，或尽情热舞，越夜越热闹。,香港景点排名第,114.1671796,22.2840899,1006,19%
香港,香港科学馆,8,width:94%,展品涉猎丰富，70%可亲身体验，寓教于乐，亲子游热门景点。,香港景点排名第,114.1891518,22.3039118,507,4%
香港,The Shortbread Company,1,width:0%,,香港景点排名第,114.1773649302,22.4508774978,0,0%
香港,青松观,1,width:86%,,香港景点排名第,113.9845721,22.4092336,31,0%
香港,米埔野生动物保护区,2,width:70%,"香港米埔野生动物保护区是香港最重要的自然保护区，未经许可，禁止进入。在此保护区内，飞禽走兽可自由活动，其中大部分品种都是极为罕见的。这里设有瞭望台。若要前往观赏，可事先向世界自然(香港)基金会提出申请。
米埔自然保护区与大陆深圳隔河…",香港景点排名第,114.0111221475,22.4750698671,1,0%
香港,吉庆围,1,width:60%,在吉庆围城门口欣赏历史感浓厚的铁门。 到吉庆围城外游览保存完好的城墙、碉堡、炮楼。,香港景点排名第,114.0760626,22.4427045,48,0%
香港,大帽山,3,width:82%,,香港景点排名第,114.1494645,22.4122598,25,0%
香港,大鹏湾,1,width:70%,大鹏湾是一个位于香港和中国大陆之间的海湾。是躺在金色的沙滩上享受阳光和海浪绝佳去处。,香港景点排名第,114.4555164288,22.5678596076,1,0%
香港,海蚀洞,1,width:80%,,香港景点排名第,114.3845155,22.3653647,8,0%
香港,救世军大坑东队,0,width:00%,,,114.1839821,22.3372788,0,0%
香港,中华港密修明佛院,0,width:00%,,,114.1890837,22.334968,0,0%
香港,李居明天文历象馆,0,width:00%,,,114.1890158,22.334756,0,0%
香港,基督教香港信义会蒙恩堂,0,width:00%,,,114.1854552,22.3371668,0,0%
香港,平安福音堂南山邨自修室,0,width:00%,,,114.1831069,22.3367769,0,0%
香港,圣博德堂区组织大楼,0,width:00%,,,114.2003044,22.341369,0,0%
香港,中华基督教会深爱堂,0,width:00%,,,114.1796379,22.3349787,0,0%
香港,冒季美牧师纪念礼堂,0,width:00%,,,114.1943226,22.3382709,0,0%
香港,基督教九龙城潮人生命堂,0,width:00%,,,114.1978782,22.3337718,0,0%
香港,泰人联系教会感恩堂,0,width:00%,,,114.1984676,22.334483,0,0%
香港,天后圣母古庙,0,width:00%,,,114.1974065,22.3400356,0,0%
香港,行德佛道社有限公司,0,width:00%,,,114.1984456,22.3340685,0,0%
香港,香港九龙塘基督教中华宣道会大坑东堂,0,width:00%,,,114.18174,22.3339955,0,0%
香港,神召会石硖尾堂,0,width:00%,,,114.1797951,22.3358012,0,0%
香港,基督教布道中心慈恩堂,0,width:00%,,,114.1986733,22.3391363,0,0%
香港,福德古庙（棠荫街）,0,width:00%,,,114.1819085,22.3336233,0,0%
香港,基督教灵光堂,0,width:00%,,,114.1775309,22.3337248,0,0%
香港,中华便以利会石硖尾堂,0,width:00%,,,114.1823683,22.333276,0,0%
香港,基督徒信望爱堂石硖尾堂,0,width:00%,,,114.1770699,22.3361573,0,0%
香港,省善真堂慈航静苑,0,width:00%,,,114.1889022,22.3363082,0,0%
香港,慈德社天后庙,0,width:00%,,,114.1974342,22.3402287,0,0%
香港,恩呈坊,0,width:00%,,,114.1995785,22.3381305,0,0%
香港,Tin Tak Shing Kau Che Kok Mei She,0,width:00%,,,114.1770767,22.3340716,0,0%
香港,巴域街佛庙,0,width:00%,,,114.1788061,22.3336595,0,0%
香港,九龙仔信福德堂有限公司,0,width:00%,,,114.1814459,22.333671,0,0%
香港,慈德善社,0,width:00%,,,114.1885908,22.3346639,0,0%
香港,香港路德会协同堂,0,width:00%,,,114.1833699,22.3337558,0,0%
香港,帝堡城,0,width:00%,,,114.1746439,22.3312011,0,0%
香港,天德圣教礼贤精舍,0,width:00%,,,114.173716,22.3336063,0,0%
香港,先天道潮音佛堂,0,width:00%,,,114.1788152,22.3296412,0,0%
香港,东方布光基督教会,0,width:00%,,,114.1721024,22.331379,0,0%
香港,深水埗平安福音堂,0,width:00%,,,114.1750634,22.3352101,0,0%
香港,信善坛,0,width:00%,,,114.1721485,22.3321669,0,0%
香港,净土宗香港一分会,0,width:00%,,,114.1751111,22.3345238,0,0%
香港,尖沙咀浸信会长沙湾福音堂,0,width:00%,,,114.1762684,22.3319904,0,0%
香港,耶和华见证人王国聚会所 (深水埗荔枝角道),0,width:00%,,,114.1720464,22.3314231,0,0%
