地区,门票名称,门票价格,已售数量
三明,福建泰宁 尚书第景区门票（尚书第建筑群）,17.0,已售1
三明,三明 金铙山门票+景交车+双程索道票,168.0,已售2
三明,三明 大金湖船票(含门票+人工讲解)票,165.1,已售11
三明,三明 玉华洞门票 多种套票可选,90.0,已售4
三明,泰宁九龙潭门票 多种套票可选,100.0,已售8
三明,三明尤溪侠天下旅游区门票（武侠世界主题旅游区）,180.0,已售9
三清山,三清山门票（免排队取票+刷身份证快速入园+东部金沙索道与南部外双溪索道通用+不去可退）,245.0,已售4
三门峡,函谷关历史文化旅游区门票,69.5,已售10
三门峡,三门峡 函谷关历史文化旅游区门票,70.0,已售4
三门峡,陕州地坑院景区门票,35.0,已售35
三门峡,陕州地坑院门票,35.0,已售5
上海,上海迪士尼乐园门票尊享33vip快速通行证通道门票尊享导览（有偿提供免排队VIP导览服务+8大项目FP+不限时快速通行证+VIP烟花位）,279.0,已售14
上海,上海欢乐谷门票/无需取票/快速入园,263.0,已售4
上海,上海电影博物馆门票,54.5,已售1
上海,上海玻璃博物馆门票,147.8,已售16
上海,上海影视乐园门票 多种套票可选,69.0,已售8
上海,上海 震旦博物馆常设展门票,60.0,已售6
上海,上海野生动物园官方 活动票,218.0,已售87
上海,上海东方明珠塔电子门票（259米全透明悬空观光廊+90米室外观光走廊+ 78米《更上·海》环动多媒体秀）,220.0,已售2
上海,上海大观园景区门票,47.0,已售48
上海,上海东方明珠广播电视塔门票 标志性建筑物 此连接是二球联票（健康出行 无需取票 刷二维码入园 ）,220.0,已售14
上海,上海海湾国家森林公园门票,53.0,已售116
上海,上海周浦花海门票,58.0,已售5
上海,上海豫园门票（健康出行 无需取票 刷身份证快速入园 ）,35.0,已售27
上海,上海 广富林文化展示馆门票,30.0,已售1
上海,上海 广富林文化遗址 电子票,28.8,已售30
上海,上海电影博物馆门票+感受中国电影制作成长史（穿越回童年时代看动画经典+了解电影制作的过程+复古风的约会地）,59.0,已售8
上海,上海东方明珠景区门票 网红必打卡景点（凭身份证入园）,192.0,已售45
上海,上海 上海东平国家森林公园电子门票（凭身份证+预约码+72小时核酸阴性证明入园）,54.0,已售4
上海,上海迪士尼乐园1日票（快速游玩/VIP导览服务/经典八大项目/VIP烟花位）,1099.0,已售54
上海,上海中心大厦118层上海之巅观光门票/电子票（无需换票 刷身份证入园）,180.0,已售22
上海,上海海湾国家森林公园门票 一片养在深闺的海上森林公园 （无需取票 快速入园 健康出行）,55.0,已售11
上海,上海 豫园 电子票,37.3,已售9
上海,上海 上海汽车博物馆电子门票（凭二维码入园）,53.6,已售14
上海,上海月湖雕塑公园门票,96.0,已售5
上海,中国航海博物馆门票,27.0,已售43
上海,上海 浦江郊野公园奇迹花园门票 扫码入园 退换无忧,48.0,已售37
上海,上海野生动物园 水域探秘游船,48.0,已售16
上海,上海枫泾古镇景区门票,37.5,已售3
上海,上海影视乐园门票（老上海影视拍摄地）,62.0,已售212
上海,上海影视乐园成人票,68.0,已售13
上海,上海外滩观光隧道门票,44.5,已售7
上海,上海迪士尼乐园门票1日票赠送价值100元导游游玩实战攻略（有偿提供免排队VIP导览服务+8大项目FP+不限时快速通行证+VIP烟花位）,299.0,已售689
上海,上海 迪士尼度假区迪士尼乐园门票,35.0,已售43
上海,上海豫园景区门票（奇秀甲于东南）,37.5,已售172
上海,上海鲜花港门票 二维码取票入园,40.0,已售4
上海,上海海昌海洋公园门票 扫码入园 亲子游玩推荐,249.0,已售515
上海,上海动物园 电子票 提前1天预定,38.9,已售16
上海,上海花开海上生态园门票,29.0,已售25
上海,上海野生动物园门票 亲子游（健康出行 无需取票 凭身份证快速入园 ）,179.0,已售1
上海,上海 东方明珠门票 自助餐 游船 套票,84.0,已售129
上海,上海 长风海洋世界双馆门票 多种套票可选,190.0,已售1
上海,大促上海野生动物园官方旗舰店门票,165.0,已售266
上海,上海东方绿舟电子门票（可选观光车套票）,41.5,已售161
上海,上海动物园门票 电子票 亲子游（健康出行 刷二维码快速入园 ）,45.0,已售9
上海,上海海洋水族馆门票 亲子必打卡（健康出行 无需取票 刷二维码快速入园 ）,164.0,已售26
上海,免排队换票 广富林文化遗址门票 刷身份证快速入园,28.5,已售199
上海,上海东滩湿地公园门票,43.0,已售80
上海,上海 杜莎夫人蜡像馆门票,194.4,已售3
上海,上海影视乐园 电子门票 凭二维码直接验证入园,62.0,已售2
上海,上海杜莎夫人蜡像馆门票（各界明星零距离+可尝试蜡像DIY+遇见漫威超级英雄）,236.0,已售18
上海,广富林文化遗址 电子门票 凭身份证或二维码快速入园,28.5,已售22
上海,上海奉贤碧海金沙电子票（扫码入园/方便快捷）,31.0,已售59
上海,上海 东方绿舟电子门票（凭二维码换票）,42.0,已售2
上海,上海环球金融中心97层+100层观光厅门票（成人/儿童/老人/学生票+快速换票）,95.0,已售1
上海,上海 闻道园景区门票（古风文化休闲园）,38.5,已售6
上海,上海辰山植物园成人票,59.5,已售4
上海,上海黄浦江游览船票 夜游观光上海外滩（可选十六铺码头/自助餐游船）,110.0,已售273
上海,免换票 上海东方明珠塔观光票,192.0,已售332
上海,亲子游玩 推荐 上海野生动物园电子门票 扫码入园,165.0,已售6
上海,上海自然博物馆门票 免票人员联系客服预约（健康出行 无需取票 刷身份证快速入园 ）,34.0,已售521
上海,上海野生动物园 电子门票,264.0,已售34
上海,上海大自然野生昆虫馆门票（各种活生生的昆虫和昆虫标本+从未见过的长相奇特的稀有昆虫+带着孩子来肯定能大开眼界）,70.0,已售4
上海,上海 海昌海洋公园门票 项目票 多种套票可选,80.0,已售15
上海,即定即用 上海豫园门票 上海古镇经典特色游玩,37.5,已售199
上海,上海 浦东美术馆门票,100.0,已售25
上海,上海东林寺门票,26.0,已售3
上海,上海之巅观光门票/上海中心大夏门票 多种套票可选,154.0,已售44
上海,上海 东方绿舟景区门票 多种套票可选套票,45.0,已售12
上海,上海欢乐谷门票 刷身份证入园,264.0,已售177
上海,上海 外滩观光隧道门票,45.0,已售4
上海,上海迪士尼乐园门票 1日门票 快速出票 入园直接刷身份证,355.0,已售25
上海,上海迪士尼乐园1日门票/2日门票 刷身份证快速入园 可领取快速通行证 （亲子/家庭/情侣套票可选）,349.0,已售1806
上海,上海中心大厦-上海之巅观光厅 刷身份证入园,155.0,已售3
上海,免排队换票 上海海湾国家森林公园电子门票 扫二维码入园 如需多张分开下单,53.0,已售35
上海,上海野生动物园官方旗舰店 电子票,215.0,已售6
上海,免排队换票 上海金茂大厦88层观光厅门票 扫码入园,80.0,已售14
上海,上海广富林文化遗址景区门票（刷身份证入园）,28.5,已售18
上海,上海海昌海洋公园门票（刷身份证入园）,306.0,已售60
上海,上海杜莎夫人蜡像馆电子门票（身份证+二维码入园）,194.5,已售4
上海,上海 野生动物园 各种套票可选,41.7,已售6
上海,上海 震旦博物馆 电子票,60.0,已售3
上海,上海影视乐园一日电子门票,69.0,已售25
上海,上海月湖雕塑公园门票,96.0,已售77
上海,上海中心大厦118楼观景台门票（高空360度俯瞰+上海之巅空中邮局+体验世界最快的超高速电梯）,198.0,已售20
上海,上海东平国家森林公园门票,53.0,已售18
上海,上海 海湾国家森林公园门票 多种套票可选,55.0,已售1
上海,上海春秋都市观光巴士旅游特色体验票（无需预约随到随走 随上随下）,60.0,已售15
上海,上海 东平国家森林公园 电子门票 刷二维码快速入园,52.0,已售2
上海,上海玛雅海滩水公园门票,127.0,已售73
上海,上海 EPSON teamLab 无界美术馆 多种套票可选,219.0,已售2
上海,上海欢乐谷门票（风情上海滩主题区全新绽放+系统自动出单+学生/青年/下午票）,110.0,已售3
上海,上海海洋水族馆门票 亲子游必去（快速出票 ）,163.0,已售4
上海,东方绿舟一日电子门票,48.0,已售2
上海,上海 豫园门票,37.4,已售22
上海,上海豫园门票（多票型可选+上海五大古典园林之一+逛逛城隍庙老街）,41.0,已售2
上海,上海世茂精灵之城主题乐园门票（多票型可选+一票通玩多项项目+高空玻璃栈道+小朋友的梦想乐园+世界地标和国际IP强强联合）,66.0,已售1
上海,上海东方明珠塔门票 上海必游景点（凭身份证入园）,192.0,已售464
上海,上海豫园门票 大门票 （无需取票 快速入园 刷身份证 健康出行）,39.0,已售15
上海,上海世茂精灵之城蓝精灵主题乐园门票（蓝精灵乐园）,156.0,已售9
上海,上海 大悦城屋顶摩天轮电子门票,60.0,已售1
上海,上海东平国家森林公园门票（凭身份证或二维码入园）,53.0,已售166
上海,上海中心大厦/ 上海之巅观光厅门票/电子票（无需换票 刷身份证入园）,180.0,已售118
上海,上海 枫泾古镇通票 多种套票可选,42.0,已售8
上海,上海 东滩湿地公园门票 多种套票可选,45.0,已售4
上海,上海动物园门票,39.2,已售86
上海,上海黄浦江游览船票 夜游观光上海外滩（45分钟+欣赏两岸绝美的夜景+一趟穿越古今之旅+领略大上海都市风采）,121.0,已售8
上海,上海动物园门票 电子票 （快速出票 扫码入园）,39.2,已售71
上海,上海动物园景区门票,39.3,已售23
上海,上海 金茂大厦88层观光厅门票,88.0,已售6
上海,上海博物馆免预约门票+人工讲解,85.0,已售1
上海,上海大观园电子门票 上海旅游（出票1小时后生效）,47.0,已售100
上海,上海中心大夏门票/上海之巅观光票 多种套票可选,175.0,已售47
上海,上海中国航海博物馆门票,27.0,已售27
上海,上海野生动物园官方旗舰店 投喂车 门票,40.0,已售154
上海,上海 金茂大厦88层观光厅门票 多种套票可选,88.0,已售6
上海,上海影视乐园电子门票,62.0,已售18
上海,上海 世博会博物馆门票（真正意义上的国际性博物馆+全面展示世博专题的博物馆）,30.0,已售3
上海,上海 朱家角古镇景区 多种票型可选,75.0,已售2
上海,上海松江广富林文化遗址公园门票+文化展示馆门票（水下博物馆+仿唐代的建筑+假装在京都+上海之根）,67.0,已售2
上海,【安心游】上海海洋水族馆门票 亲子游必去（快速出票 健康出行）,164.0,已售74
上海,上海 蓝精灵乐园-上海世茂精灵之城主题乐园电子门票（凭二维码+预约码+72小时核酸阴性证明）,156.0,已售1
上海,上海 广富林文化遗址电子门票（凭身份证或二维码入园）,29.0,已售16
上海,上海都市观光旅游巴士门票（车内语音讲解/各站点随上随下）,60.0,已售1
上海,上海乐高探索中心门票,195.0,已售7
上海,立即出票 上海顾村公园门票门票 刷二维码快速入园,49.0,已售17
上海,【官方票源】EPSON teamLab 无界美术馆-大门票/上海无界美术馆门票（全球仅2座的EPSON teamLab+每月全新限/定展品）,273.0,已售19
上海,上海大观园 电子门票,45.0,已售5
上海,大千天鹅湖庄园景区门票,37.0,已售11
上海,免排队换票 上海金茂大厦88层观光厅门票 扫码入园,80.0,已售8
上海,上海 东方绿舟景区门票,41.5,已售22
上海,上海动物园 电子票,39.2,已售2
上海,上海金茂大厦门票88层观光厅门票门票（魔都地标/陆家嘴商圈毗邻黄浦江俯瞰大上海）,99.0,已售28
上海,大自然野生昆虫馆门票,63.0,已售5
上海,免排队快速入园 上海奉贤碧海金沙电子票,31.0,已售29
上海,上海顾村公园门票 健康出行 刷二维码快速入园 （下单后麻烦您找客服领取二维码））,26.0,已售179
上海,上海汽车博物馆门票,53.0,已售40
上海,夜游上海外滩 上海黄浦江游览船票（可选十六铺码头/金陵东路码头/自助餐游船）,110.0,已售15
上海,上海 鹏新嘉定海洋世界电子门票（凭二维码入园）,115.0,已售4
上海,上海迪士尼乐园电子门票 刷身份证入园,521.0,已售66
上海,上海星空错觉艺术馆电子门票 星空浪漫特色之旅,54.0,已售4
上海,上海迪士尼乐园1日成人票vip免排队fp快速通行证通道导览迪斯尼乐园门票早享卡（免排队VIP导览服务+8大项目FP+不限时快速通行证+VIP烟花位）,1678.0,已售43
上海,蓝精灵乐园-上海世茂精灵之城主题乐园一日电子门票,160.0,已售15
上海,上海汽车博物馆电子票（漫步上世纪伦敦 探秘古董车）,53.0,已售81
上海,上海辰山植物园门票 （健康出行 无需取票 凭二维码快速入园 ）,68.0,已售76
上海,上海动物园门票 电子票 （快速出票 扫码入园）,38.8,已售3
上海,上海顾村公园门票（周末节假日2小时后生效）,49.0,已售6
上饶,江西上饶市+望仙谷景区门票（无需换票/快速入园+当日可定+1秒入园）,120.0,已售27
上饶,江西上饶 望仙谷 电子门票 刷身份证或二维码快速入园,99.0,已售2
上饶,江西上饶 葛仙村度假区 电子票,118.0,已售1
上饶,龟峰风景名胜区门票（含观光车+游船）,149.5,已售1
上饶,上饶 篁岭门票 套票,45.0,已售1
上饶,上饶 三清山风景区门票 各种套票可选,5.0,已售27
上饶,葛仙山门票+往返索道票（扫码入园+江西上饶+道教圣地）,120.0,已售27
上饶,上饶 望仙谷门票 套票,9.9,已售1
上饶,江西上饶 望仙谷 电子票,99.0,已售101
上饶,神龙宫景区门票,88.0,已售8
上饶,上饶 灵山风景名胜区门票 索道票,75.0,已售4
上饶,江西上饶 望仙谷门票,100.0,已售39
上饶,上饶 望仙谷门票,100.0,已售146
上饶,江西上饶望仙谷 可选望仙谷漂流套票 电子票（无需取票/快速入园）,100.0,已售134
上饶,上饶 李坑景区门票,57.3,已售3
上饶,江西上饶望仙门票/ 望仙谷 电子票（黄墙黑瓦村屋原味+峡谷清幽溪水欢腾+青崖石阶卵石飞瀑）,110.0,已售2
东京,日本 东京铁塔150米大眺望台门票 东京塔大门票（快速出票）,75.0,已售2
东京,【正常营业】东京 六本木新城展望台 东京城市景观 (52层欣赏东京市中心的屋顶景色+神秘的夜光中捕捉全景),110.0,已售2
东京,东京Sanrio三丽鸥彩虹乐园门票(Hello Kitty乐园+Sanrio卡通家族+粉红乐园),175.0,已售2
东京,东京宫崎骏三鹰之森吉卜力美术馆门票提前一个月以上购买,250.0,已售177
东京,日本东京六本木之丘新城展望台观景门票 Roppongi hills Tokyo City View看日落看城景,108.0,已售3
东京,[晴空塔-350米观景台门票]东京晴空塔350米展望台电子票,125.0,已售4
东京,日本东京宫崎骏美术馆三鹰之森吉卜力美术馆大门票（接受6月门票预定）,128.0,已售2228
东京,日本东京三丽鸥 Hello Kitty主题乐园一日电子票,158.0,已售5
东城区,中国国家博物馆门票（代预约）,9.6,已售2663
东城区,中国国家博物馆门票,18.0,已售53
东山岛,东山岛鱼骨沙洲门票漳州网红快艇往返,118.0,已售11
东莞,广东观音山国家森林公园成人票,40.0,已售13
东莞,广东东莞松山湖梦幻百花洲门票 百亩花海,50.0,已售65
东莞,东莞湾区自然学校门票一日电子票,35.0,已售13
东莞,广东观音山国家森林公园门票,38.0,已售70
东莞,广东东莞 观音山国家森林公园门票,37.5,已售7
东莞,广东东莞 香市动物园 电子门票,108.0,已售20
东莞,东莞香市动物园电子门票,110.0,已售71
东莞,东莞龙凤山庄影视度假村门票,49.0,已售12
东莞,东莞 观音山旅游风景区门票 多种套票可选,39.0,已售9
东莞,广东东莞 观音山旅游风景区 电子票,38.0,已售1
东营,黄河口生态旅游区电子票（扫码入园）,83.0,已售5
东营,黄河口生态旅游区门票,83.0,已售64
中卫,宁夏 中卫沙坡头风景名胜区/电子票（无需换票）,80.0,已售14
中山,幻彩摩天轮电子门票（乘客高空缆胜 中山歧江两岸美景 都市万般风情 尽收眼底）,58.5,已售4
中山,中山大尖山露营公园一日门票电子票,29.0,已售2
中山,中山迪茵湖生态旅游度假区一日电子票,63.0,已售16
中山,迪茵湖生态旅游度假区门票,66.0,已售1
中山,中山幻彩摩天轮电子票（中山歧江两岸美景/提前2小时预订）,58.5,已售3
中山,【中山泉眼温泉门票】中山三乡泉眼温泉门票含18小时温泉+三餐自助餐午餐/晚餐夜宵早餐,115.0,已售18
中山,中山幻彩摩天轮一日电子门票（中山歧江两岸美景/提前2小时预订）,57.0,已售25
中山,广东中山温泉门票一日电子票,109.0,已售11
中爪哇,【正常营业】印尼日惹婆罗浮屠寺庙（Borobudur Temple）门票（金字塔形的主庙+精雕细刻的浮雕板+壮丽的日出）,190.0,已售5
丰宁,丰宁天马飞行小镇-童话草原景区门票,50.0,已售5
丰都,立即发码 重庆丰都鬼城门票 提前2小时下单,85.0,已售39
丰都,重庆丰都 南天湖景区门票,56.0,已售24
丰都,重庆 丰都雪玉洞景区电子票,94.0,已售3
丰顺,广东丰顺 龙归寨瀑布景区门票,44.5,已售30
临安,临安 风之谷户外乐园成人票 电子票,128.0,已售4
临安,杭州临安天目大峡谷门票 成人票（窗口售票处取票）,79.0,已售2
临安,临安大明山景区门票+景区巴士票（浙西小黄山+看雾凇赏雪景+仿佛神仙所住的地方）,35.0,已售1
临安,杭州临安西天目山门票/含大树王国+禅源寺套票,105.0,已售12
临安,杭州大明山景区电子票,26.0,已售141
临安,东天目山门票+景区交通票成人票,91.0,已售15
临安,龙井峡漂流门票成人票（含景交）,170.0,已售8
临安,浙西大峡谷景区成人门票（含景交）,98.0,已售9
临安,浙江杭州临安凉源峡漂流门票/浙西凉源峡漂流/临安漂流（含景交 免费洗浴）,138.0,已售17
临安,随定随用 杭州临安湍口众安氡温泉含恒温水世界,198.0,已售7
临安,杭州临安西天目山门票 含大树王国 禅源寺门票（山下门楼售票处换票）,99.0,已售47
临安,杭州临安风之谷门票 风之谷乐园 Mountain Games 含草地卡丁车 皮划艇 弹弓飞人等,128.0,已售6
临安,浙江杭州临安大明山门票含景区巴士 大明山全天滑雪不限时（扫码入园 无需取票）,85.0,已售94
临安,杭州临安大明山滑雪场/大明山全天滑雪套票/全天滑雪套票/临安湍口众安氡温泉+滑雪套票 电子票 扫码入园,200.0,已售275
临汾,临汾 广胜寺门票 观光车票,38.0,已售1
临汾,广胜寺景区门票,44.0,已售8
临汾,云丘山景区门票,60.0,已售1
临汾,山西洪洞大槐树门票（寻根祭祖园）,75.0,已售2
临沂,临沂动植物园门票 临沂动物园门票 （电子票 免取票 萌宠喊你来踏青 回归自然的感受 在游园中领悟和谐的真谛与自然的可贵）,39.5,已售22
临沂,临沂凤凰欢乐大世界门票 电子票 提前一小时预定,105.0,已售2
临沂,临沂 动植物园门票 多种套票可选,40.7,已售5
临沂,临沂广播电视塔门票 全程通票 即买即用 含蜡像馆 5D电影等展厅,40.0,已售2
临沂,临沂沂水天上王城景区门票（观崮顶马战+演绎春秋诸侯争霸+天下泉庄赏桃花+崖壁王城之巅+俯瞰万亩桃花+别有洞天）,90.0,已售4
临沂,临沂海洋世界主题公园门票 临沂海洋馆门票 电子票,85.0,已售16
临沂,山东临沂平邑九间棚景区门票（赏梨花景点 梨花盛开 漫山遍野 铺雪堆玉 间以桃红 柳绿 松青）,28.0,已售1
临沂,山东临沂龙园旅游区电子票,72.0,已售9
临沂,山东临沂 临沂动植物园 电子门票,40.5,已售2
临沂,竹泉村成人票 含动物表演 鸟艺表演 一日电子门票,88.0,已售23
临潼,骊山索道往返票成人票,60.0,已售1
临潼,临潼华清宫景区华清池骊山索道(可选上行/下行/往返),30.0,已售2
临潼,秦始皇帝陵兵马俑门票+人工讲解 2小时左右 详细讲解,112.0,已售47
临潼,西安长恨歌门票中区好位置可选长恨歌/华清宫/兵马俑门票 长恨歌演出门票中A/中B/东西A/东西B可选,238.0,已售680
临潼,秦始皇帝陵博物院-兵马俑大门票+人工讲解150分钟左右讲解 免排队随时定含耳麦 【可订长恨歌/1212西安事变/驼铃传奇演出门票】,120.0,已售514
临潼,华清池长恨歌第一场中A区+返程车（华清宫D区停车场--钟楼）,445.0,已售10
临潼,临潼秦陵地宫展览馆电子票（景区窗口取票/可选华清宫联票）,45.0,已售3
临潼,西安临潼华清宫《长恨歌》歌舞剧演出票（多票型可选/景区取票）,217.0,已售87
丹东,丹东天桥沟国家森林公园门票（可选含玻璃栈道 两种套餐可选 高山溪谷 原始森林）,85.0,已售34
丹东,丹东 凤凰山门票,5.2,已售1
丽水,浙江丽水 云和梯田景区门票（提前2小时预订）,68.0,已售86
丽水,丽水 东西岩景区门票,40.0,已售2
丽水,丽水云和梯田景区门票,68.0,已售79
丽水,浙江丽水 仙都景区（中国黄帝文化名山） 电子票,90.0,已售168
丽水,遂昌金矿国家矿山公园门票,116.0,已售15
丽水,立即发码 丽水仙都风景区电子票 如需多张分开下单,90.0,已售101
丽水,丽水 遂昌金矿国家矿山公园门票,115.9,已售1
丽水,古堰画乡门票,45.0,已售66
丽水,浙江丽水 仙都景区一日电子门票（中国皇帝文化名山 含景区交通）,110.0,已售10
