用户名,评论
马**用户,我是自己一人带着孩子旅游，路线安排：前三天相对紧凑些，后几天就比较宽松了。景点建议：拉市海就是去骑马，回来有些网红拍照地，如果不是特别感兴趣，这个景点可以选择不去；另外玉龙雪山下的蓝月谷真的非常漂亮
马**用户,云南的风水宛如人间仙境，雪糕导游的知识很磅礴，
马**用户,云南行非常满意，导游服务热情周到，认真负责，专业性强，给我们讲了很多云南当地少数民族的风土人情，团餐包括土司宴及纳西喜宴，等都比较美味，感受到纳西族人的热情款待，司机和师傅车技一流，很开心跟随旅游，推荐。
马**用户,总体来说还是不错的，行程安排妥当，酒店都很好，住的舒服，最后呢，我要给这个旅游团的网购售后服务打个好评！遇到任何问题都能及时得到回复和处理，让人非常安心。
马**用户,阿金很好，博学多才，很专业，每天带着我们有说有笑很开心，还会给我们说当地的风俗习惯风土人情。
马**用户,这趟行程的导游非常周到热情，服务很好，父母和团友被照顾的很好。行程也合理，总之是非常满意的一次行程
马**用户,最后，我也要特别赞一下售后服务。我一开始在网上订了一个行程，但是后来发现有个景点我不太想去，于是我就联系了客服，他们很快帮我换了一个行程！整个售后服务都非常好，让人很有安全感。
马**用户,每一站的行程安排的都很合理，景点给的时间基本上也够，感觉这一趟旅行是物超所值。 团队的大巴车也非常舒适，路程虽然有些长，但是坐起来十分舒服，时间也不会让人感到拖沓。最让人满意的是售后服务，对于旅行当中可能遇到的突发情况，他们提供了非常贴心的服务，比如在行程中有人突然生病，他们立刻安排了医疗救援，让我们真的是十分感激！
马**用户,向往的云南终于去过啦！遇到了幽默风趣的导游和沉稳的司机杨师傅，保障我们每天愉快安全的出行，他们点个赞。
马**用户,云南地域辽阔，风景美如画，随手一拍就是精修。导游和雪糕非常专业和幽默风趣，在旅途上跟我们讲了很多当地的人化文化和特色，给我们带来了很多欢乐。司机杨师傅虽然话不多，但是车技杠杠的的，非常稳当。这次旅行整体来讲很开心，了解了当地的民族文化，非常的有意义。
马**用户,刘导细致耐心的服务，极强的业务能力水平，让我们出门在外感受到家一样的温暖，以后有机会去丽江还希望能遇见刘导。
马**用户,还行吧，就是形成其实前面还是蛮紧的，总体来说，前面几天挺累的！我们导游叫刘晟，说了挺多历史文化的！给我们普及了我们云南少数民族文化历史的知识！总体来说还行
马**用户,父母劳累半辈子，想给他们放松一下，安排一场说走就走的旅行。旅行过程中虽然很辛苦，好在抓住了美好，留住了回忆。导游认真负责，希望后面还有机会一起出去看看。
马**用户,江维隆导游和木师傅都非常棒，旅行很愉快，小伙伴们虽萍水相逢，但愉快和谐！最最愉快的一次抱团体验～
马**用户,来到彩云之南，丽江古城游人如织、风景秀美。短短一周，品云南地方美食，体验民俗文化，意犹未尽。感谢何导和司机师傅的陪同，让我们安心省心游。
马**用户,云南风景真的很美，尤其喜欢玉龙雪山和虎跳峡！何导风趣幽默知识储备很强，尤其对当地的人文化和民族特色。车上总是给我们讲一些有趣的故事，让整个旅途不至于那么单调无聊，我也很喜欢听得津津有味。这次云南之旅让我感受到了久违的慢生活，相信用不了多久还会再次来到这个地方！
马**用户,这次行程非常满意 顾导非常好 行程安排的好 人很热情负责任 很棒 云南很美
马**用户,顾导辛苦了，景点介绍详细；有耐心，还帮忙拿行李，感谢。 6天路程有点累，香格里拉现在这个季节景色一般；大理停留时间太短。 玉龙雪山蓝月谷景色美；古镇都还可以，风景很美
马**用户,非常开心的一次旅行！ 很多年没有跟团旅行了，一开始有些忐忑，但是没出一天就被小罗导游和司机师傅的细心服务，以及团队的年轻人们所感染，大家互相关照，一路有说有笑，即使遭遇不好的天气，心情也能瞬间被团队的热烈气氛温暖。从未有过的跟团旅游体验，希望还能有缘再聚。 最后要特别夸一夸导游耐心、风趣、吃苦耐劳、为游客考虑周到，尤其是心肠好，可谓洗刷了我对云南导游的印象，配得上五颗星！今后有朋友去丽江，我一定会推荐她们！
马**用户,整体上体验非常好的一次旅行，高原、峡谷、雪山、森林、稻田、湖泊、古城、人文，云南的美肆意的表达。感谢团队的包容，我们虽然很努力的起床，缺总会晚一些…感谢罗导游，带我们吃了很多好吃的，专业的拍技术，最后还在团结束的后一天休息时间，帮助我们去千古情找帽子，感谢，有机会再带家人走一次云南。
马**用户,来到云南这美丽的地方，大自然的鬼斧神工，少数民族的风土人情，让我们叹为观止！导游顾老九耐心负责、幽默风趣、知识面广，旅途中不停的为我们讲解，让我们对这片土地有了更深的了解。谢谢顾导！
马**用户,感谢何导全程的细心照顾，非常棒，值得推荐，很省心的云南之旅。
马**用户,导游日程安排很合理，游玩的轻松愉快，以后有机会想再次去丽江游玩。
马**用户,行程安排合理，全程非常舒适，阿东导游也很专业，带领我们感受了纳西族的文化，非常满意！
马**用户,有人说云南的天是有颜色的，确实如此，特别是洱海，每天都有蓝蓝的天空白白的云朵，傍晚时分还有晚霞，雨后有彩虹，无时无刻都在炫耀它的美。这次旅游收获很大，导游很敬业，这一点就让我喜欢上这家旅行社了，当然还他们安排的挺不错的，吃住都很高档，很享受的一次旅行
马**用户,此次游览领略了七彩云南的美好风光，感觉不虚此行。这个团安排很好一点都不赶，休闲但充实，有自己自由行的时间。导游温姐和拉木都很好一个温柔贴心，一个活泼开朗，都十分专业，而且拍照技术扛打滴!途中认识了很多不同的人，车上气氛都很好，一起旅行非常开心
马**用户,除了天公做美，最幸运的是遇到了优秀的司机和导游，导游待人礼貌真诚，服务体贴周到，对老人照顾有加，父母对他赞不绝口!司机师傅开车技术一流，本来容易晕车的老妈坐在车里一点都没有晕车，相反可以尽情享受车窗外的盛世美景!6天时间都是在愉快中度过的，没有高反!给我们带来超棒的旅游体验!
马**用户,期待已久的云南游圆满结束啦，对此次出游非常满意!不仅饱览了迷人的美景、品尝了各地特色美食还体验了纳西族、白族、藏族、摩梭人的风士人情行程安排合理、旅途轻松自由:安全舒适，团队安排的正餐各具特色，风味各异:酒店干净整洁，方便快捷，最满意的是导游服务:热情周到，每次都会提前把第二天出游注意事项告知清楚，减少不必要的麻烦:我们是家庭出游，有老人有小孩，考虑很周到各人都照顾得很好，知识丰富，口齿伶俐，景点讲解生动风趣，值得推荐
马**用户,这几天感觉很好，云南确实是个美丽的地方，玉龙雪山很棒，山上有雪，玩的很开心，出来度蜜月，哈哈哈哈，旅行社服务很不错，鲜花铺床，哈。。。靠谱的的旅行社，价格不贵，吃住都很好，一对一客服，感觉很用心，有问题都可以联系到，感觉很安心。
一**好,这次旅游切身体会了云南民族风情，美丽的风景一饱眼福，酒店真的是很好哦，全程五星级酒店，吃得也很好。必须的夸夸导游哦，人真好风趣幽默，玩的超级开心，云南确实是名副其实的旅游胜地
马**用户,总体来说不错的，行程安排合理，住宿有特色而且酒店都不错，特别是温泉酒店，温泉泡的很舒服。我们的戴导游非常热情负责，每到一个景点都会讲解，提醒我们注意事项，司机很辛苦开车技术好，安全放心。
马**用户,从云南回到家了，依然还是怀念大理的沮海，真的很嗨，还有花海，时间去的不错。很叫不出名字却开的很美的花朵，妈妈翻着在花从中的图片也很开心。大理的天很低，云真的很白天真的蓝，这种景色在我故乡从未见过，世外桃源没错了。主要是今天还收到了客服小姐姐给我寄的特产，因为带着妈妈出游，说是给赠送的礼品，鲜花饼真的还是挺好吃的。谢谢旅行社让我家人这么开心。
番**腩,大理的风花雪月!丽江的柔软时光。空气非常的好!导游很贴心热情!大理住了个海景房，大爱很满意的一次旅行!
马**用户,这次来云南就是冲着丽江来的，小时候看过木府风云的电视剧，就一直想到玉龙雪山玩一趟，但是一直没有机会，现在终于来了，真的不虚此行，蓝月谷的水是那种带点绿色的蓝，水很清，一路上满眼都是云南的独特风光，云南人也都很热情，管家在全程都很关心我们，从咨询开始就非常尽心尽力，跟他反应的问题处理的也都很及时，太暖心了
马**用户,蓝天、白云、高山、河流、花海以及那随处可见的自由生活的动物，感觉一切都是那么的和自然融为一体，让人心旷神怡。这次旅行吃住行都非常好，每个司机师傅车开的都很好，每一位服务工作人员态度都很好，更应该感谢的是一直陪伴的导游，导游认真细致负责，为人真诚，知识渊博，耐心讲解了很多民俗文化传统，风土人情，是名优秀的导游!总之这个路线感觉很值，推荐大家感受一下，很值得!真的很感谢你们对我们游客负责任的态度，耐心的讲解，让我们长时间的车程不寂寞，总的来说这次旅行很满意
马**用户,大理之行旅拍挺好挺满意的。云南之行遇到了阿奇导游，她真诚热情，她的故事深深感染了我，她的真诚深深打动了我。她对家乡的爱在心底在行动，为她点赞。遇上阿奇导游，是这趟泸沽湖之行的额外收获!宁静美妙的洱海和真诚热情的阿奇让我忘却了烦恼!相信这里会越来越好!
马**用户,导游讲解的也不错!总体上衣食住行还可以。玉龙雪山的确很漂亮。特别是蓝月谷，强烈建议朋友们可以去看看，那边拍婚纱照的挺多的，而且景色别有一番感觉，我们拍了好多照片哟，而且古城晚上的风景也很漂亮，让人有一种忘记城市喧嚣。放松生活的状态云南之行，一辈子不得不去的地方!!
马**用户,趁着不忙的这一段时间，报了这个跟团游，因为客服说产品不错极力推荐的，刚开始半信半疑，毕竟是和朋友一起出游，怕让朋友不舒服。所以一开始是没有很高的期待的。现在行程也走结束一段时间了，好好谈谈感受，首先跟团不累，到酒店比较早可以好好休息调整，其次跟团玩了非常多的景点，特别是大理网红打卡的地方，真的很美，只要找对地方真的是让人流连忘返。
马**用户,"好评，这次旅游真的很赞，店家服务特别周到，价格很便宜实惠，住宿也很好，导游讲解的很到位，行程安排很合理，介绍景点很仔细，整个旅程很开心,非常满意，另外现在天气不错，景色也很美!客服特别耐心，你有什么问题随时都解答，这样的服务真心觉得赞!云南充满了民族风情，那种热情很感染人，景色也很美，都是天然的美，很纯洁很喜欢，以后有机会还会来的。"
马**用户,这次我一个人出来旅行，很开心能认识到一位贴心的客服小姐姐，让我知道该带什么衣服出行，下个行程的安排，酒店景点告知，接机的联系，真的很贴心，还有导游马姐，景点介绍很专业，很生动辛苦她大太阳下带着我们去游玩，安排的让我们玩的开心，吃的开心。全程的酒店安排的超赞，出来玩就要选择住的好，吃的好，玩的才开心啊。
马**用户,吃、住、玩都不错，按约定行程，只不过出发时间会提前，导游和客服的服务很好，本来我的飞机定的比较早，好在客服解决的及时，没有让我错过飞机，好评
马**用户,安排的满满的，累并快乐着，很充实，结识了漂亮的小姐姐，还没玩够就说该说再见了，专属客服很有耐心，从订单开始到结束一直很负责，给个赞。收起服务态度好，下次还会选择他家
马**用户,这次参团的行程安排合理，从我们报团到行程结束，每个工作人员(导游) 认真负责，行程环节紧凑，吃住行......按标执行，导游的讲解让我们了解了不同民族的文化、历史、民俗风情、美丽的传说(故事)和特色物产，行程中导游的关心照顾，周到服务使我们旅游轻松又开心，很满意这次畅快旅游
*丽,去了一趟云南，感受了传说中的丽江风情，风景旖旎，人文热情，整个行程很舒适，行程不赶，玩下来不怎么累，而且这次正值大片花海，差点就不想回来了!酒店住的很不错，很干净，这个价位的团住这样的酒店我已经很满足了。因此整个行程玩的收起都很开心~
马**用户,这是一次满意的行程，达到了我们的预期效果。首先，是旅游路线选择提现了云南的特色，景点多是云南的经典，特别适合第一次来云南的游客。
马**用户,这次的旅游行程安排的很丰富，游玩很愉快。导游、工作人员的服务也很周到，贴心，并且全程都安排接送。很多废话不不多说，这次团整体很满意，大理的导游姐姐人超级热情，具体你自己慢慢体会吧，特别喜欢游洱海，是实在太美了，拍了好多视频，全是壁纸的节奏。船上风大，一定要带帽子和口罩呀。
马**用户,难得出来旅行一次、总体来说还是不错的、同样的路途不同的人有不同感受、关键还是在于我们自己的体会与心情!这次旅行给我很大惊喜，没想到跟团游的品质这么高。首先导游马姐是最棒的，知识面广，为人低调谦和，服务周到，老妈超级满意。其次住宿条件很给力，三人间安排合理，人性服务很棒。最后线路安排也还可以，虽然路途遥远，没有来过这条线路的还是可以的每个景点都有些特色。
马**用户,行程安排 5.0行程安排合理，不耽误时间，行程衔接工作做得很好。第二天行程安排都会有人提前通知到位，为我们省了不少心。 描述相符 5.0服务很周到很贴心。餐饮方面也还不错，酒店住宿环境挺干净的，住宿是我喜欢的风格，很舒适。晚上也休息得很好。总体来说性价比还是挺高的。十分满意。导游服务 5.0 导游普通话挺标准的，介绍景点，历史人文说得也很详细。而且人很热心，每天都会给我们说一些温馨小提示，给我增长了不少见识。游玩下来感觉挺轻松，挺开心的。
马**用户,在云南我们不仅享受到了大自然的美景，游玩过程中还了解云南少数民族人们的风士人情，导游耐心地给我们讲解，我们的司机师傅也非常给力，把我们安全地从一个景点拉到另一个景点。
马**用户,此次云南游，还是满意的。风景确实美，玉龙雪山洱海游船这几个景点都非常美。吃的和住宿都不错这次大理导游，讲解的很详细，一路上不停的讲解风士人情，国学知识，非常敬业。
马**用户,很满意的一次旅途，这几天的天气非常棒，人数不多，行程安排的不急不缓，景色超级漂亮。几个导游一路上都对我们很照顾，专业知识丰富，简直是上知天文下知地理，关键是脾气还那么好，真的很不容易。一路向西去大理，苍山雪，洱海月，名不虚传丽江古城夜市繁华而不失古典优雅，处处小桥流水景色非常的值，蓝月谷绝对值得一去，多彩云南，名不虚传，以后还想再来云南，把没去过的地方再去一遍。行程吃的和住的都挺好的。
马**用户,玉龙雪山登顶的感觉很nice。不同的季节，有不同的风景，不同的海拔，也有不同的感受。旅程虽然也有所瑕疵，但云南，我还是会再来的。
马**用户,第一次来云南，朋友推荐了旅行社，研究了一下行程就很快确定了，因为朋友之前说蛮好的，自己也懒得看太多了，临时定的团哈哈哈。行程结束来总结一下，六天时间去了很多景点，基本上包含了所有云南很多标志性的景点，不得不说云南的风景真的美到室息，个人特别喜欢大理，太喜欢那里的天气了，虽然有点干，但是天气好每天有看不完的云朵，是在太美了。然后就是旅行社的工作人员都值得点赞，服务态度超级好。
马**用户,我们导游是很厉害的史导，听她介绍，她是傣族人，史导人很好，待人热情，对待每一个人都很耐心，虽然昆明到丽江的车程很长，但是一路上都可以听到史导给我们讲解云南的风土人情，所以时间过的很快，不会感到枯燥，司机李师傅开车很稳，云南之行很满意，无论是洱海，玉龙雪山，蓝月谷，风景真是好的没话说，还有吃和住在团餐中都属于最好的
马**用户,放假就直接出来玩了，很开心！美美哒！走过昆明，划过大理，玩过丽江。云南的风景很美，值得去一回！石头奇形怪状，真是让人目不暇接啊！城真美，还要去玉龙雪山看一下，天气好的话还能看到白雪皑皑的顶峰呢。
马**用户,碰上飞姐导游真的很开心很幸运。我们小团12人，一路上对我们非常照顾，人美性格好，不会强买强卖。酒店安排的很舒服，舒心和品质同样重要。这个大家庭氛围很好，全程嘻嘻哈哈，很留恋。行程安排的很紧凑，云南风光尽收眼底，这次旅行非常满意。
马**用户,史焰导游的知识面非常广，让我们了解和学到了很多云南当地个个少数民族的文化生活，在去往从昆明到大理—丽江的路上，我们听着史导一路上给我们讲着当地的文化厉史，风土人情，和个个少数民族独特的生活习俗，让我们大开眼界，虽然我们早上起的很早，但是我们听着史导不辞辛苦的站着给我们讲，我们一点不觉得累和困，说真的我是很喜欢史导，她的性格很开朗大方，也很悠默，所以这次我玩的很开心，再有就是云南的自然景观太漂亮了，玉龙雪山的美景非常震撼
马**用户,从开始前一天就收到了出游提示短信，还有专有的管家，去到一个陌生的城市丝毫不慌，下飞机有专门的人员接机送到酒店，细节把控很好，而且安排的司机开车很稳，选择的路线完美避开高峰拥堵，最贴心的要数我们的和导了，普通话很标准，事无巨细不急不躁，将冗长的历史故事娓娓道来总能勾起你的好奇心~ 而且跟着和导还收获了不少风水的小知识，总而言之，收获颇丰
马**用户,我们的导游李洋，对我们特别热情，给我们安排的行程也特别合理，因为地域原因景点之间路程远怕我们无聊，除了给我们介绍景点和当地的风土人情外还给我讲一些自己亲身经历的故事，特别有亲和力，临走当天跟我们合影留念还真有点舍不得。
马**用户,云南之行感觉很好，行程安排的很有条理，吃住行都不用自己操心，住宿的酒店很满意；导游也非常有水平（表扬一下这次旅行的导游---齐导），不像之前新闻报道的强买强卖，每天都安排的很妥当；云南景色也很好，这个季节刚刚好
马**用户,特别特别幸运的一次出行！首先，时机选的好，全程无排队，你敢想！其实，行程安排的好，吃住行游购都nice！然后，和导派的好，特别博学人很棒！具体点的，比如无风无雨无雪顺利登上雪山，超级超级幸运哒！
马**用户,这次行程配备有专属客服一对一服务，我们的专属客服是个年轻热心的小美女，遇到问题积极响应，及时反馈和解决，让我们很放心也感到开心。
马**用户,这趟行程下来很满，酒店住的也不错，印象最好的就是我们导游姐姐非常贴心负责，而且还特别专业有内涵！
马**用户,一次非常棒的旅行，性价比较高，加上风趣幽默的导游阿旺，一路风声笑语，强力推荐
马**用户,旅行非常充实，游览了大理洱海，丽江等著名景点，导游冯佳慧也非常耐心负责，讲解了很多当地的历史故事，感受到了丰富的当地特色历史文化。
马**用户,行程安排非常棒，景色都很好看，导游和师傅都很耐心，负责，总体还可以，性价比高，强力推荐。
马**用户,导游很热心，负责，整个行程安排很合理，没有走回头路。小冯能照顾到团里所有人，非常周到。
马**用户,总体很好，导游蛮负责任的，每餐都等我们菜上全了，才安排自己的饭菜。每顿饭吃到的美食都让我口水直流。
马**用户,行程安排很棒，景色非常好看，行程十分充实。浏览了大理洱海，丽江古城，玉龙雪山等著名景点，导游和大巴车师傅非常耐心负责。总体行程性价比很高，另外也很感谢摄影师阿潇，给我们在洱海留下了珍贵的印记与回忆。
马**用户,很棒1性价比很高的旅行，吃住玩都不错，还有和导，人很友善，知识量储备很丰富，讲解很有意思
马**用户,司机师傅很耐心，车开的非常稳，出门在外安全第一嘛！还有就是导游和晓岚讲解的比较详细，云南的景点好看好玩的太多了，6天的行程紧了点，以后有时间还会再来的。
马**用户,令人难忘的云南之旅！美丽的洱海，奇特的石林，壮观的玉龙雪山，令人流连忘返的蓝月谷……安排的行程非常合理，和导也很细致周到。总之这次旅行非常开心！
马**用户,云南是个景点很多的地方，这次行程安排的紧凑饱满，很多向往的景点大都看到了，导游也很专业，讲解详细，收获还是很大的。
马**用户,这次运气特好，遇到一个博学多才的导游，出口成章，她一路照顾大家的饮食起居，心系大家安全，力求大家快乐，谢谢美女导游！
风**吹,此次旅行印象深刻的是玉龙雪山的壮观景象，拍照也非常好看，蓝月谷蓝绿色的水非常漂亮。在云南这几天吃的很好，吃到了云南的特色美食。云南是一个文化底蕴很深厚的地方，少数民族风情很独特，房子的建筑也非常好看非常独特。我们的导游非常专业，为我们很耐心的讲解云南的风情和文化。使我们的云南之旅不但看到了美丽的风景还了解很多关于云南各地的历史及文化。此次旅行非常愉快，行程安排很合理。感谢旅行社的安排！
晚**轻吹,去了不同的地方，看了不同的风景，知道了不同的事，感悟了不同的人生。这次云南一周游，目睹石林的天工巧夺，感悟了玉龙雪山的洁白神圣，体验了大理丽江古城的小桥流水，见证了苍山洱海的伟岸宽广，感受了云南少数名族文化信仰，不同民族的文化差异融合在一个集体，神奇的存在。旅途还在继续，心还在路上……
马**用户,整个行程安排得很到位，能深刻感受到云南独特的人文气息和美丽迷人的风景。和导很亲切很专业的导游，出行体验很棒，有机会再走一次别的路线。
马**用户,行程安排很好，很紧凑，景点都很漂亮，尤其是玉龙雪山，我们到达了能够到达的最高点，景色很美。住宿及餐饮都比较好，品尝的普洱茶味道很好，少数民族风俗都很有意思。
马**用户,旅行非常充实，游览了大理洱海，丽江等著名景点，导游也非常耐心负责，讲解了很多当地的历史故事，感受到了丰富的当地特色历史文化。
马**用户,景色特别美，希望有机会还能过来，导游老高人很好，特别感谢这一路细心的讲解，就是时间有些紧，累并快乐着
马**用户,本次行程非常满意，一路上段导无微不至的照顾，让我们很温暖，行程中赶上正好我生日，还特意给我买了蛋糕，感谢！行程中的酒店都属于档次比较高的，休息的很好，行程安排合理，无强制消费。给段导的服务点赞！！！
马**用户,不得不说云南的风景真的是得天独厚，很漂亮。工作人员也很专业，出行之前主动联系我们，行程中问我们玩的情况。这次的行程安排还是很好的，旅行印象深刻的是玉龙雪山，拍照也非常好看，蓝月谷蓝色的水非常漂亮。
马**用户,我们去了好多绝美的景点，在昆明看花海，大理乘船游洱海，丽江还去了玉龙雪山呢！每天都有很充实的活动，但又不会太累，真的很不错，推荐给大家
杨*娟,行程安排还可以，景色都很好看，夜晚的丽江古城、石林、蓝月谷、洱海很漂亮，就是去玉龙雪山的时候太可惜了天气不好山顶能见度低，雾大啥也看不到，但是山脚下蓝月谷真的很美。时间有些赶，雪山来不及登上山顶，大理古城也只是跟当地导游很快走了一段就出去了。
*荣,这次云南之旅总体都算比较好的。经典景点玩了好几个，洱海、玉龙雪山、蓝月谷、石林等，风景各有千秋，都很美丽。导游也很专业全程卖力介绍当地人文典故，餐饮的团餐比起其他跟团游要好很多！
胡*海,一次愉快的旅行，七彩云南美丽的风景让我们流连忘返，导游小张故事般的讲解娓娓道来，是位非常称职资深的导游，只可惜本人高反厉害没有上玉龙雪山观赏到她神秘壮观的景象。
*琳,体验较好的一次旅行，行程及住宿达到了心理预期，导游服务超出了心理预期，为尹导再次点个赞：优秀。
*雷,整个行程走下来还挺不错的，当时对比了好几家旅行社，感觉行程都差不多，后面经朋友推荐这家的品质和服务都是比较好的，而且酒店住宿的也比较好，就果断来报名了，当时还是有点小怕怕和担心的，毕竟也是第一次来云南，也担心会不会强制消费的，担心酒店住的不好，说起这个行程吧，当然不得不说的就是酒店和导游了，发现这边的导游李南霄宇还挺热情的，还有就是在洱海旅拍的摄影师小旗特别的专业很耐心的指导动作，也很幽默。
*杰,以前也跟团游过许多次了，见识过这样那样的导游，这次云南游的导游高建昆是给我印象最深的一个。 一般导游都是讲段子，但他不是。他讲历史，又不仅仅是讲历史，还带了民族情怀与爱国教育。他讲个人经历，也不仅仅是讲经历，更掺杂了人生感悟。带着孩子跟着这样的导游，对孩子的成长很不错。很欣赏他。 以后还会去云南的，希望还可以再次遇到他。
王*凯,导游热情大方，对旅游景点介绍到位，知识丰富，超级棒！售后客服也特别耐心，完全没有后顾之忧。大家千万不能错过！
*恒,是个完美的旅行，行程安排合理，导游热情大方，住宿也很不错，车接车送，贴心服务。总之，这个行程玩得我们都不想回家了啊！强烈推荐给各位！
黄*娥,非常满意的一次出行，这次行程安排的很好，管家每天会问问情况，非常满意，态度很好，出行用的中巴车也非常干净，司机驾驶技术娴熟。导游是当地人，对各种地方民俗风情和游玩事项嘱咐的到位，比较有亲和力。同团的人也都比较融洽，总之这次出行衣食住行非常满意，云南是个去了还想去的地方。
王*彪,行程路线非常合理，先在昆明游玩，看滇池和石林，然后去了丽江古城，还去玉龙雪山滑雪，大理更是少不了洱海的胜景。每天都玩到晚上。住的地方也是特别舒适，酒店服务非常周到，吃的也很好，餐厅风景优美。售后服务也特别好，有专人负责协调我们的行程，真的超级方便。总之，我推荐这个旅游线路，很划算也很畅快！
*博,"""首先要夸一下这个团的玩法真的超好，每个景点都玩得很充分，而且都有专业导游带着，解说超详细，不仅让我增长了不少知识，还能拍很多美美的照片呢！
我们一行人先去了昆明的石林，哇，那是真的壮观到不行，好多形状奇特的石头都让人目不暇接。然后又去了大理的苍山洱海，那里的景色真的是好得没话说，那个蓝绿色的湖水简直是让人心醉神迷。最后去了丽江古城，我觉得这里最吸引我的就是那些小桥流水，还有那么多古朴的建筑让我真的好像穿越了回去。吃的方面也是非常周到，三餐都是有包车带着我们去当地小吃店吃，而且都是当地的特色美食，口感真的是绝了！住宿的方面也不用担心，总之，这个团真的是非常不错，如果你也想去这几个地方的话，可以 ... 全文"
马**用户,很开心的一次旅游，通过旅行真的可以增进知识，确实没错，以前都是通过抽象的文字了解云南，通过别人的体验来了解云南，就很向往云南这片土地。这次休假，公司也给了几天多余的时间，就报了个团，整体玩下来没让我失望，对云南这片土地更加热爱了。也了解到云南的风土人情，每到一个地方都会有具有当地民族特色的表演，很赞。
