scenicSpot,date,star,comment
香港海洋公园,2019-01-2116:36:40,5,千万别错过海洋剧场里可爱的海豚表演哦！海洋公园开放时间为早上10时至下午7时，10月3-5日将延长开放至晚上8时。另外，海豚学堂于下午5时30分关闭。小鸟天堂、百鸟居、亚马逊历险迷程及香港马会大熊猫园于下午6时关闭。太平洋海岸于晚上七时关闭。1、香港海洋园全年开放无休息。常规时间10：00-19：00。2、香港海洋公园升降梯以及快速滑行车的运营时间是到18：00为止。3、公园上午10点开门，适合早去，一般下午2点左右是团队入园高峰时间。10:00开门，提前网上买票超快入园。进园拿地图连好wifi就可以在海洋公园的app上预约fp！下午是入园高峰期，要安排好时间。入园门口可以买一些卡通饰品用来拍照，还有熊猫泡泡机，建议先玩右手边的海洋奇观，各种超大海底蓝色梦幻玻璃很适合拍剪影照！海底世界很Q，小孩子超爱的！顺序：缆车上山排长队，建议看完海洋奇观坐海洋列车上山（排队人不多），直接去看海洋剧场，接着就玩刺激的项目和参观，威威天地适合小宝宝，高峰乐园适合大朋友。玩耍后稍早些坐缆车下山，经过极具港式风情的香港老大街，吃吃逛逛乐趣多多，继续游玩熊猫馆等。海底世界，这里绝对会让你忍不住慢下脚步，感受海底的韵律和呼吸，看着水母游动漂浮，有一种能治愈心灵的美妙。说到海洋公园，我印象最深刻的是小时候看过的港剧《天降奇缘》，当年帅气的温兆伦在海洋公园就是驯海豚的，也有大量场景在这里拍摄，一晃真是那么多年过去，海洋公园还是这样老幼皆宜！
香港海洋公园,2019-01-2017:24:08,5,我们9:30左右到的，已经开园了，门口排队的人不多，买的电子票，所以可以直接扫码入园（不用打印也可以）。因为是12月24日——圣诞节前一日，虽然是工作日，但是人也一点不少。我们就坐海底列车上山了。山上有很多大型娱乐设施，都比较刺激，“心脏不好”的人还是慎重选择。企鹅馆，我们在里边看了半天企鹅，一个个憨态可掬，要不是冻的不行真的不想离开。海豚海狮表演，看时间还差半个小时开场，因为懒得走了，就直接去看台上坐下歇着了。后来发现这个选择是明智的，因为快开场的时候，开台上比价好的位置，已经基本都被坐满了。海豚表演大概持续了半个多小时，海豚、海狮和工作人员都很卖力的演出，我们也看的很过瘾。表演结束后，我俩又顺着路往前逛了一下，有一个紫色的过山车、摩天轮和跳楼机都在这边。我们玩了紫色过山车，跳楼机不敢玩，摩天轮排队的人很多，我们就没有排。玩了一天比较刺激的项目，到这个时候已经比较累了，我们就决定随便转悠一下就下山。误打误撞去了水母馆和中华鲟馆，水母馆值得一看，各种大大小小的水母在灯光的映衬下游泳的样子，真的非常美。下午3、4点钟，缆车下山的队排的还不算太长，等了10几分钟，就到了。一般缆车都会安排一起来的人坐一辆车，哪怕只有2个人，也会单独给你们安排一个缆车。
香港海洋公园,2019-01-0917:01:34,5,如果您需要在海洋公园和迪士尼之间选一个，那么我可以用亲身体验告诉您：海洋公园更好！它注重科普，有关海洋，动物，生态，科学知识特别多，特别适合培养孩子们的学习兴趣。同时，成人也感觉收获特别大，丰富知识，更关爱动物。同时，它的游乐项目更刺激，空间更大，景色更美。特别强调的是它是香港市民喜爱的港产乐园，而且游客少多了，没有排大队的烦恼。大爱海洋公园！
香港海洋公园,2018-12-3122:56:13,5,答应我，去香港一定要去一次海洋公园，这里有充满魅力的海洋生物，还有刺激有趣的机动游戏，反正我是没玩够。1.交通：搭乘南港岛线到金钟站，然后换乘到海洋公园站，b口出。2.时间：10：00-19：00，所有的游玩项目会在18：00前关闭。3.门票：某宝提前一天购买即可，成人票335元/张，比现场买便宜，不需要买餐券，里边有麦当劳，据说好吃又不贵，每张门票都包含缆车，到了扫码入园即可。关于海洋快证，如遇到节假日、周末可以买，平时去不用买，玩项目基本不需要排队。4.入园须知：不能带食物入园，门口保安会开包检查，记得带件一次性雨衣（滑浪飞船会用到）。5.游玩指南：下载一个香港海洋公园的官方APP，到园内可连接免费WIFI，就可以随时随地查看园内各个项目的排队情况、开放情况和演出时间，还有园内导航。进园后可先去海洋奇观看看再去山上玩项目（好玩的都在山上），我们去的时候山顶缆车关闭了，只能坐海洋列车到山上，虽说有点小遗憾，但海洋列车也蛮好玩。6.游玩路线：山顶缆车-动感天地-冰极天地-热带雨林天地-急流天地-高峰乐园-坐海洋列车到海滨乐园-出园                7.必玩项目：如果体力好的话，每个项目都可以尝试一下，毕竟大老远来了，就不要留遗憾。
香港海洋公园,2018-12-2015:49:45,5,一入园，就被这颗高40呎的巨大圣诞树所吸引了，虽然还未到圣诞节，但此时的海洋公园，也早已沉浸在一片“铃儿响叮当”的海洋里~广场的各处还打造了很多圣诞小角落，非常适合拍照，这个设计也是很贴心了~公园分为山上山下两个部分，各种刺激好玩的机动项目都在山上，海洋公园最具代表性的海豚海豹小企鹅也在山上，所以山上是一定要去的哦~公园依山而建，濒临大海，登山缆车，已不仅仅作为一项连通山上山下的交通工具而存在，它更是所有游客来到这里所必须要打卡体验的一个项目了。一来到山上，就来到了一片充满着尖叫的欢乐海洋。“动感天地”可是满载刺激的机动游戏，这也是很多人相比于香港迪士尼乐园，更爱海洋公园的原因，过山车是海洋公园的招牌项目，它有别于其他过山车的点就在于置身其中，你所看到的别样风景。坐在上面，就一定要睁开眼睛哦，因为，你会看到时而驾越山间，时而俯冲如海的神奇景观，而这，也是海洋公园里，最值得你感受的风景了。easy版的激流勇进，小朋友可以参与的，几个人乘坐在一条大轮胎里顺流而下，冲入水中，水花四溅的那一刻，不光是玩家，连在一边的看客，也会跟着一起，收获快乐。不要以为，在这里以大型刺激的机动游戏为主，就没有了小朋友发挥的空间，其实，这里还有一片区域，是各种竞技类的趣味游戏，简单有趣，还能让小朋友在游戏中收获小礼物，收获满足感。企鹅宝宝们并没有完全的被封闭起来，而是采用半开放式的形式，我们与企鹅宝宝之间，仅仅只是隔了一道玻璃的距离，也让参观者们有了莫名的亲切感。我很喜欢香港海洋公园的一点就是，它不仅仅是游乐场，它更是小朋友们参观动物、获取知识的一个场所，而它本身，也将寓教于乐发挥到了极致。海豹馆分为上下两层，很大，大概是为了给这些大型的海洋动物们，更好的活动空间吧。约会海豚是海洋公园推出的一项旨在让小朋友们深入了解海豚的一项寓教于乐的活动。
香港海洋公园,2018-12-1917:39:30,5,香港海洋公园很特别，是建在山上的，山下分布着一些常规展馆，也有吸睛的小型巨幕海洋世界，山上则有极地世界以及各类娱乐设施，我们与小海疼邀会的地方也在山上，所以缆车是上山下山的交通工具之一。缆车一路向上，我们调侃着有恐高症的某某，不知不觉就到了山顶。小海疼的表演很精彩，寓教于乐，喜欢它们跃出水面的那一刻。海洋和小海疼都是人类的好朋友，保护环境真的从每一件小事做起吧！这个世界不该因我们而变得更坏。海洋世界，治愈系之一，就是水母，各色的灯光背景下，我还是喜欢蓝色，虽然水母透明无色，但在心里，我喜欢它们不停静默无声的变换，一次又一次。当看到人头攒头的巨幕海洋世界，我唯一的想法反而是，等等再等等，等到人群渐渐散去，我和他们近一些，看到熟悉和不熟悉的鱼，纷纷从眼前经过，这个蓝色的世界，真好。大概是去的时间不太对，周一大部分游戏设备检修，如果不着急看表演，入园又比较早的话，可以先去排队海洋世界看巨型玻璃全景等鲸鲨，香港的海洋公园很独特，分山上和山下两个部分，关于表演和游乐设施时间依然可以参照海洋公园App。建议若以游玩为主可先上缆车，因为大部分游乐设施都在山上，若只以观赏为主可在山下各个场馆先进行游览，值得一提的是，海豚表演等都在山上。
香港海洋公园,2018-11-3023:40:19,5,1、我的线路：入园——乘登山缆车去往高峰乐园——冰极天地——海洋剧场——水母馆——鲨鱼馆——极速之旅——海洋剧场——越矿飞车——急流天地——动感快车——坐海洋列车返回——澳洲历奇~考拉馆（记得在坐登山缆车前就看）——海洋奇观——音乐喷泉——花车巡演，由于之前攻略看的不多，所以多少有些混乱，游览内容也主要选择适合大孩子的项目。2、推荐这篇文章，图文并茂，游乐设施图片基本都有。http://www.mafengwo.cn/i/10658586.html3、带小朋友的除了逛各个场馆外，还要关注一下园内各类表演的时间，让孩子们参与互动。4、大型游乐设备选在下午偏晚些玩，个人觉得人会比较少了，当然要有取舍，选最有兴趣的，暑假期间全玩不太可能，个人主推:疯狂过山车，动感快车，越矿飞车。
香港海洋公园,2018-11-3016:24:46,5,香港海洋公园的奇妙之处就在于它的“全能”，喜欢海洋生物来这里当然是不二之选啦~不感兴趣？也可以来尝试各种游乐设施。过山车太可怕？来看看风景也是超赞的！  从十点半入园到喷泉表演结束，七张快证，几乎没有排队，差不多把所有项目玩了个遍。大致路线是这样的：入园后海洋列车直接上山（因为上午挂了风球，空中缆车不开放），赶上中午的海豚表演，山上的项目和展厅慢慢看不着急，大约四点半坐空中缆车下山（下午缆车开放了，大惊喜，不过也因此人比较多），山下的项目大都是适合小孩子的，随便逛逛买买手信，七点半双龙奇缘开始，看完演出撒欢的一天就结束了。 三个看风景非常棒的地方，分别是：空中缆车－非常推荐上下山都坐缆车，无论是看公园还是看海都很美。摩天台－观景平台会升到顶360°旋转，视野很好，中间的图就是从平台俯看的太平洋海岸。摩天轮－经典项目，由于是半开放式的，转到最高点风比较大。 海洋公园的海豚表演一直是大热门项目，每天中午下午各一场，中午场的人比下午场要少许多。虽然讲解全程粤语，听的一知半解，但看看萌物们的表演也足够了，尤其是五只海豚同时跃出水面的经典场面，一家人就是要齐齐整整呀~ 山下场馆里有一个柱状水族箱，里面都是同一品种的牛奶鱼，它们只会朝同一个方向游动从不停歇，我喜欢叫它“滚筒洗鱼机”，非常适合拍剪影照片，仿佛置身梦幻的海底。展馆里还有许多其他海洋生物，漂亮的海扇啦，迷你的海马啦，荧光色的海葵啦，爱打架的大螃蟹啦，当然还有团宠尼莫~其他的动物也很可爱，尤其是抱成团把自己卡在树权上呼呼大睡的考拉，因此参观澳洲奇缘的时候要轻手轻脚。
香港海洋公园,2018-11-2723:15:01,5,劝宝宝们买快速通行票，有280的和380的，快速通行的项目是不同的，如果是平日可以买280的，如果是周末和假日可以选380元的。包括入园的缆车和下山的小火车也是可以使用的。入园先坐缆车上山，大型游乐设施都在山上。有一个这个忘了叫什么了，这个一定要玩！超级推荐！虽然看着挺一般的，但是下来已经笑的不行了！不知道是不是我们笑点低，如果瘦瘦的请坐里面。友情提示！海洋公园山上还有表演，有时间的，宝宝们看好时间山下大部分都是观赏性的和小孩子的游乐设施，去的时候刚好赶上万圣节主题的内容，很好看
香港海洋公园,2018-11-2222:36:02,5,海洋公园有个app，但是它只在园内可以用。园内有无线。连上后可以看各个项目的排队时间。海洋公园其实不是海，是两座山！先趁上午到了赶紧先做缆车去后山，不然下午旅游团的一来，项目没得玩了全要排很久的队，缆车也没得坐了。全是排队的人人人人。原本我们计划上下山都坐缆车，看了一眼排队的望不到头的人，我们放弃了乖乖坐了列车下去。个人感觉缆车坐一次就好了呀，列车也很好呀，一会就到了。建议游玩顺序：（如果你和我们一样，既喜欢玩刺激的又想看海洋动物，且可以接受下午坐列车下山，那么可以参考我们的方式）一开始先坐缆车到高峰乐园，玩海洋天地的项目，然后去动感天地玩。中途掐准时间去看海洋剧场的演出。等玩完估计下午了，然后就坐列车返回海滨乐园，去海洋奇观和周围想去的馆看看，就可以准备出园了。海洋公园还有一个疯狂过山车，听说没有动感快车刺激，我们就没玩了。其他的像飞天秋千和冲天摇摆船听起来也很刺激的，我们时间不够也没玩上。还有一个海洋摩天塔，可以360度全景欣赏整个公园的全景。另外，记得带雨衣啊！我们玩的热带激流和滑浪飞船都会湿身的。我们也是没想到，都十一月份了还能玩到水上项目。尤其是没有带雨衣也不想买的话，玩滑浪飞船请把前排的位置让给男朋友，你在后面护好你们的包就好啦。在海洋公园买了奇华，感觉很好吃，而且买礼盒两盒八折，后来在别家没看到有打折的了哭唧唧。
香港海洋公园,2019-08-1619:54:03,5,海洋公园作为香港两大主题乐园，也是极受小朋友们喜爱的。交通很方便，地铁直达。园内游乐设施特别棒，尤其是动物表演很能吸引游客。印象最深的还是那超长的露天自动扶梯，远眺景色极佳。
香港海洋公园,2019-08-0309:59:24,5,香港海洋公园享有“全球最受欢迎的主题公园”，“东南亚规模最大的娱乐消闲公园”，“世界最大的水族馆”等多项荣耀。位于香港岛南面的香港海洋公园，堪称全球最受欢迎的主题公园之一，是东南亚规模最大的娱乐消闲公园之一，占地170英亩。公园建筑分布于南朗山上及黄竹坑谷地。分山上和山下两部分，山上是香港海洋公园的主要部分，有海洋馆、海涛馆、海洋剧场、百鸟居。
香港海洋公园,2019-07-2702:13:17,5,适合和老人小孩一起游玩的景点，跟外婆和妈妈一起去的海洋公园。看到的海底世界，几层楼深的海底，就像真实在海底，实在非常震撼，同时大自然的神奇也令我自觉人类的渺小。一天的时间没有逛完，来不及玩机动游戏。人相当多，外婆中途还肚子疼。出门在外，还是得常备看门药。
香港海洋公园,2019-07-2216:42:54,5,海洋公园是大型水族馆+游乐场+自然风光游览地的组合，非常大，非常推荐，也是亲子游的好地方。工作日人不算太多，推荐按照热评的攻略走，早些进园先去山上。山顶过山车体验极好，还有疯狂过山车、VR过山车等游戏都值得一试，缆车是一定要坐的。海洋剧场的节目就是海豚蹦几下、海狮扭几下，精彩但不惊艳，比不上内地很多海洋公园。
香港海洋公园,2019-07-0713:14:15,5,坐落在港岛南部的一座半岛小山上，分为海滨乐园和高峰乐园两大区，海滨区就是进了公园上山前那一段山凹，高峰区则是在山顶上。就游玩设施的比例而言，目前海滨区和高峰区大体是2:8的样子，换言之，主要是在山上玩。建在山地上的乐园，建造起来会麻烦一些，但也使园区内部多了一些顺着山势起伏的高低错落感。用一个朋友的推荐语说，就是从一个游玩区到另一个游玩区，中间道路上看看山景海景也很美。从设施的类型上说，虽然各种过山车、海盗船之类的游艺设施占大头，但毕竟是海洋公园，还是要先重点说一些海洋相关的。在山上的“冰极天地”区域有南极奇观、北极之旅，分别展示着南极的企鹅、北极的海报海狮等。企鹅是第一次见，在场馆里非常活跃，水里面游的、水面上腾空窜出来的、冰面上跳上跳下的、冰面上杵着站的，到处都是，不过企鹅馆里是真心冷。另外在山上的“海洋天地”区域，有寻鲨探秘馆，展示有很多鲨鱼、大翅膀的鳐鱼。当然，最吸引人的还是海洋剧场里的海狮、海豹、以及海豚的表演。除开这些就是各种游艺设施了，光是不同造型的过山车，应该就有个四五种，其中一个VR越矿飞车比较特别，但因为看排队人太长就没有去，但也玩了其他3种过山车。当时主要也是考虑各种过山车挺多了，就把一个快证通行支持的VR项目，留给了VR太空探索。而这个实际上是VR+跳楼机。我们尝试了带VR和不带VR两种玩法，确实还是不一样。不带VR的话，在跳楼机上能看到周边景物，心里有参照系，悬空感会弱一些。而带VR的玩法，要给头上戴上VR眼镜，眼前是一个3D虚拟的太空中的场景，通过虚拟场景的变化，加强了跳楼机本身给身体带来的各种飞翔或失重感。海洋摩天塔是一个值得特别推荐的，不是刺激类型的，而是一个绕着柱子，缓慢旋转上升的环形观景台，能让人在高处远眺海洋公园全貌。最后特别强调一点，如果愿意花钱省时间的话，非常推荐买那种“快证”。有280、400、520港币三种价位，所覆盖的项目范围随价格逐渐加大，拿着快证可以在覆盖的项目中（也包括上下山的缆车与列车）走快速通道。有的项目跟着大部队一起可能要排十几二十分钟队，特别火的项目甚至要排半小时以上，拿着快证就是只是和同样有快证的少数人排队，基本就是排几分钟就可以了。如果买了快证，建议先拿着快证去玩快证覆盖的项目，没覆盖的项目稍晚点再来玩，因为到下午4、5点之后，大部分项目人也都少了，几乎不用排队了。
香港海洋公园,2019-06-1412:33:17,4,香港海洋公园三面环海，东濒深水湾，南临东博寮海峡，西接大树湾。占地87万平方米，是亚洲最大的海洋公园。公园建筑分布于南朗山上及黄竹坑谷地。两园间设有架空缆车，游客只需乘坐1.4公里的缆车，便可来往于两园之间，形成一个完整的公园景区。在缆车内，可观赏深水湾、浅水湾海景。它包括海洋天地、集古村、绿野花园、雀鸟天堂、山上机动城、急流天地、水上乐园、儿童王国等八区。该园分山上和山下两部分，有空中缆车沟通。山下为水上乐园，是亚洲第一个水上游乐中心；山上是海洋公园的主要部分，有海洋馆、海涛馆、海洋剧场、百鸟居。
香港海洋公园,2019-12-0617:32:29,3,很久之前去的了，人多的要死，每个大型项目要排一小时队，秩序还算好。现在大概没什么人了吧。景色可以。
香港海洋公园,2019-11-2508:29:56,5,很棒的哦good
香港海洋公园,2019-10-1308:13:20,5,去过，感觉还可以，希望以后再去看看
香港海洋公园,2019-08-2323:17:22,5,2019年去的，香港行最满意的一个景点，超喜欢缆车。
香港海洋公园,2019-08-0704:54:49,4,好玩，各种大型游乐项目堪比迪斯尼公园。没有香港迪斯尼前，这里就是最好玩的
香港海洋公园,2019-07-2915:54:58,4,香港之行，主要是因为航班晚点，转机去巴厘岛的时候给的小惊喜
香港海洋公园,2019-07-2823:33:09,3,海边风光不错，缆车看山景还行，但是太热啦，队又长。对夏日的游乐场毫无耐心。
香港海洋公园,2019-07-1711:43:55,4,带着孩子度假休闲的好地方。当然，成人看海洋剧场里面的表演也很不错。
香港海洋公园,2019-07-1217:14:34,3,还挺好玩的，是个不错的亲子游玩地
香港海洋公园,2019-07-0409:37:41,5,很值得去的一个地方，有很多海洋生物，海洋过山车
香港海洋公园,2019-07-0120:49:11,5,游乐项目很多，刺激精彩，尽量安排在非节假日去，否则排大队体验大打折扣
香港海洋公园,2019-07-0116:09:04,4,氛围不错，跨海的缆车可以看到真正富人生活的山顶，园内气氛比较浓
香港海洋公园,2019-06-2615:49:40,5,适合一家大小出行的主题乐园，小朋友可以看动物，年轻人可以玩激动游戏，看看风景也是很不错的
香港海洋公园,2019-06-2210:17:42,5,海豚表演太赞了，关键是背景就是碧绿的大海，好美。还有水族馆也很赞，个人感觉比那个迪士尼还值得去
香港海洋公园,2019-06-2209:53:47,5,海豚表演太赞了，关键是背景就是碧绿的大海，好美。还有水族馆也很赞，个人感觉比那个迪士尼还值得去
香港海洋公园,2019-06-2010:45:23,5,好玩，感觉比迪士尼好玩多了。。
香港海洋公园,2019-06-1814:09:33,4,这里的人气很旺，建议去的时候上山看表演做小火车，排队坐缆车的人忒多了。
香港海洋公园,2019-06-1510:45:27,5,还不错，比迪士尼乐园要好刺激一点，推荐
香港海洋公园,2019-06-0914:33:05,5,去过很多次了，比起迪士尼更适合幼儿园的小朋友。
香港海洋公园,2019-05-0923:10:29,5,和现在很多先进的海洋馆比有点落伍了
香港海洋公园,2019-05-0616:26:51,3,服务人员感觉不太聪明，不会协调普通游客和拿到快速通行证的游客之间放行的问题。这是最大的槽点。餐食很贵。节假日期间游人非常多，排队等候时间超出预期。总体来说，推荐指数三颗星。如果是平时来的话或许情况没有那么令人想吐槽。记得带好防蚊虫的东西，南方地区的蚊子真的贼厉害。
香港海洋公园,2019-05-0523:55:26,5,第一次去香港就是去的海洋公园.
香港海洋公园,2019-05-0516:34:19,5,除了饮料贵以外，没啥缺点的乐园。知道他们在救助海豚之后，更爱了。哈哈哈，不过哪个乐园饮料不贵的呢？去的时候正好是大夏天，--感觉对热的印象太深刻了。总体来说都很不错的乐园。
香港海洋公园,2019-05-0323:30:21,3,排队的人都是大陆人多……其实内地的游乐设施场地丰富多彩，比海洋公园强多了，但是跟团游嘛，被导游领到这里来，来都来了，就排队玩下呗
香港海洋公园,2019-04-2310:48:11,5,公园很大，要是想好好玩，要一整天的时间，海洋区域有很多表演，一进门里面有时间表，带小朋友来是很好的选择，跟迪士尼不一样，这里生态环境真的很好！很多家长都忽略这里，真的值得来哦
